talk	notarget	int	string	float	thing
NotEatShit	eegk.??				
NotEatEssence	Apa!! tidak akan makan Cairan, kecuali kau memberi aku makan.				
NotEatDrug	Bahkan jika Kau membunuhku, aku tidak akan memakan pil sebagai makanan ringan kecuali jika diberikan kepada ku.				
NotEatWheat	Aku hanya makan gandum ketika lapar				
NotEatDryMeat	Aku... Daging ini sangat kering				
NotEatPear	Apa itu buah pir? Bisakah itu dimakan?				
NotEatMeat	Daging mentah itu menjijikkan, aku tidak akan pernah memakannya kecuali benar-benar diperlukan				
NotEatCook	Toko kue adalah makanan terakhir yang inginku makan				
NotBiteBuilding	Aku tidak benar-benar ingin menyerang bangunan				
NotBiteClothes	Aku tidak bermain-main dengan pakaian				
NotBiteOuter	Aku tidak akan menyerang murid luar				
NotBiteInner	Aku tidak akan menyerang murid dalam				
NotBiteVisitor	Aku tidak akan menyerang pengunjung				
NotBiteIncoming	Aku tidak akan menyerang manusia yang datang				
NotAtkEnemy	Aku tidak akan menyerang musuh kecuali diserang				
NotShitAtShitPlace	Aku tidak akan bab di titik ekskresi				
NotShitAtPlants	Aku bab di samping tanaman? Meh!!!				
NotShitAtDogHouse	Aku tidak akan bab di sarangku				
NotShitAtStorage	Pikirkan Kembali Bodoh!!			
NotShitOnBed	bab di tempat tidur? Jorok!!!				
NotShitInFarm	Aku tidak akan buang air besar di lahan pertanian				
NotCarryOuterToBed	Aku tidak akan memindahkan murid pingsan ke tempat tidur				
NotCarryVisitorToDest	Aku tidak akan memindahkan pengunjung yang pingsan ke titik teleportasi.				
NotCarryEnemyToDest	Aku tidak akan memindahkan musuh yang tidak sadarkan diri ke titik teleportasi				
NotCarryIncomingToDest	Aku tidak akan memindahkan manusia yang pingsan ke titik teleportasi.				
NotCarryEnemyBodyToDest	aku tidak akan memindahkan mayat musuh ke titik teleportasi				
NotCarryVisitorBodyToDest	Aku tidak akan memindahkan mayad pengunjung ke titik teleportasi				
NotCarryIncomingBodyToDest	Saya tidak akan membawa mayat fana ke titik teleportasi				
NotHelpCarry	aku tidak akan membantu mengatur segalanya				
NotHelpTimber	aku tidak akan membantu menebang pohon itu				
NotHelpMine	Aku tidak akan membantu menambang				
NotHelpFind	aku tidak akan membantu menjarah barang				
NotHelpKill	aku tidak akan membantu menyembelih hewan				
NotHelpPlant	Aku tidak akan membantu menyuburkan tanaman				
NotCureFreeze	Aku tidak akan membantu mengatasi radang dingin				
NotCureHot	Aku tidak akan membantu mengobati sengatan panas				
NotHelpCook	Aku tidak bisa membantu memasak				
NotHeatEndure	Aku tidak akan membantu meningkatkan toleransi panas				
NotColdEndure	Aku tidak akan membantu meningkatkan toleransi dingin				
NotHelpPlay	Aku tidak akan bermain-main dengan murid-murid				
NotPlayToy	Aku tidak bisa bermain dengan mainan				
NotTrainQiGan	Aku tidak tahu cara melatih kemampuan Meditasi.				
NotTrainNeiDan	Aku tidak tahu bagaimana melatih kemampuan mengendalikan ramuan itu				
NotTrainHuTi	Aku tidak tahu bagaimana melatih kemampuan perlindungan tubuh				
NotTrainLingZhi	Aku tidak tahu bagaimana melatih kemampuan mental				
NotTrainShuFa	Aku tidak tahu cara melatih keterampilan sihir				
WannaEatShit					Ini {0}, Eegk? Kesukaanku
WannaEatEssence					Ini {0} membuat mulutku berair.
WannaEatDrug					Aku ingin makan ramuan itu sebagai camilan
WannaEatWheat					{0} ini kelihatannya enak
WannaEatDryMeat					Aku tidak dapat menahan aroma {0} lagi
WannaEatPear					Saya tidak tahan lagi, saya ingin makan{0}
WannaEatMeat					{0}, Aku akan Makan
WannaEatCook					Aku sangat ingin makan{0}
WannaBiteBuilding					{0}, Aku sudah lama menoleransi Anda
WannaBiteClothes					{0} ini pasti bagus untuk menggemeretakkan gigi Anda.
WannaBiteOuter					Seperti apa rasanya murid luar {0}?
WannaBiteInner					Saatnya menunjukkan kekuatan kepada murid dalam {0}
WannaBiteVisitor					Pengunjung {0} sepertinya sangat cocok untuk melatih keterampilan.
WannaBiteIncoming					Pengunjung {0} sepertinya sangat cocok untuk melatih keterampilan.
WannaAtkEnemy					{0}, kematianmu telah tiba
WannaShitAtShitPlace					Aku ingin bab di titik ekskresi
WannaShitAtPlants					Aku ingin bab di samping tanaman
WannaShitAtDogHouse					Aku ingin buang air besar di sarangku
WannaShitAtStorage					Kotoranku Kualitas Premium sangat berharga, sebaiknya dibawa ke gudang
WannaShitOnBed					Buang air kecil di tempat tidur memang terlihat menyenangkan
WannaShitInFarm					Buang air besar di lapangan harusnya membantu?
WannaCarryOuterToBed					aku harus membantu orang yang tidak sadarkan diri {0}
WannaCarryVisitorToDest					aku ingin memindahkan pengunjung yang tidak sadarkan diri {0} ke titik teleportasi 
WannaCarryEnemyToDest					Saya ingin memindahkan musuh yang tidak sadarkan diri {0} ke titik teleportasi 
WannaCarryIncomingToDest					Aku ingin memindahkan pengunjung yang tidak sadarkan diri {0} ke titik teleportasi 
WannaCarryEnemyBodyToDest					Aku ingin memindahkan mayat musuh {0} ke titik teleportasi 
WannaCarryVisitorBodyToDest					Saya ingin memindahkan badan pengunjung {0} ke titik teleportasi 
WannaCarryIncomingBodyToDest					Saya ingin memindahkan badan pengunjung {0} ke titik teleportasi 
WannaHelpCarry	Aku ingin membantu mengatur berbagai hal				
