ID	Name	Desc	Level	Rank	Gong	Miji	GLevel	GrandMaster	BasePower	UnLockBuilding	ZhenInfo	ZhenName	Race
499后不可用	Sect Name	Keterangan	Sect levels: 1 Village, 2 Sect, 3 Abode.	Good/Evil: 0 Unknown, 1,-1 Controversial, 2 to 4: Good, -2 to -4: Evil	Sect Law (random fill, no physical form).	Sect Manual	Average Stage	Ancestral Master	Basic Strength	Buildings Unlocked After Conquest	Formation Info	Formation Name	Race, default RANDOM for random race, RANDOMYAOGUAI for random creature
1	Sunshade Abode	Keturunan langsung dari jalan Kejelasan Tertinggi di alam fana. Terletak di puncak Gunung Sunshade, ini adalah pilar di dunia yang adil. Sunshade Abode unggul dalam pembuatan artefak. Sepuluh Pedang Ilahi yang mereka simpan di sekte mereka sebagai pencegah adalah senjata terbaik dengan kualitas tak tertandingi, tingkat sepuluh atau lebih.			Myriad Artifact Law			Avarice Lord				Upper Clear Azure Great Formation	
2	Kunlun Palace	Keturunan dari jalan Kejelasan Giok yang diturunkan dari Dewa Purba. Terletak dengan bangga di kaki Gunung Kunlun, urat nadi keberuntungan naga leluhur, ini adalah pilar di dunia yang adil. Hukum Keabadian Kemurnian Giok yang dicari oleh orang-orang Kunlun dikenal karena kekuatannya yang luar biasa. Dengan jumlah murid yang besar, sekte ini dianggap sebagai sekte paling adil.			Jade Purity Immortal Law			Primordial Lord				All Paths Supreme Formation	
3	Skydome Palace	Sekte penyendiri yang terletak di Puncak Heavenstep, hanya menerima pria dan wanita cantik sebagai murid. Mereka mempraktikkan Hukum rahasia di mana seseorang merangkul emosi dan nafsu mereka dalam proses kultivasi, tetapi kemudian membuang semuanya demi mendekati kondisi tertinggi, sebagai akibatnya meninggalkan banyak pria dan wanita yang mendekam di dunia kultivator.			Emotion Severing Law			Radiant Lord				Seven Emotions Heart Seizing Formation	
4	Purple Cloud Temple	Sebuah sekte yang berpartisipasi aktif dalam urusan sekuler, dikenal karena pengalaman membaca Feng Shui. Prinsip sekte ini adalah mempraktikkan kebajikan Tao dengan melakukan petualangan. Murid-murid mereka mencari keabadian, tetapi juga bertindak seperti pejuang keliling, yang sebagian besar berkeliaran di seluruh dunia dengan membaca Feng Shui dan meramal.			Way of the Divine Cloud			Spiritualist Violet				Five Thunder Five Immortal Formation	
5	Mystic Unity Sect	Sebuah sekte yang berpartisipasi aktif dalam urusan sekuler. Agama nasional di alam fana dan penasihat kaisar. Semua bangunan sekte terlihat mewah dan khusyuk, dengan warna dasar ungu, menampilkan kesan kebangsawanan. Sebagai agama nasional, sekte ini memiliki pengikut yang terus menerus.			Way of Celestial Heart			Mystic Unity Sect Cultivator				Purple Qi Golden Mysterious Honored Formation	
6	Blue Lotus Temple	Sebuah sekte terpencil yang didirikan oleh Blue Lotus Immortal, yang dikenal karena penguasaan pedang mereka yang digunakan untuk membunuh. Prinsip sekte adalah menjalani kehidupan yang terbebaskan.			Sword of Supreme White			Immortal Lord Blue Lotus				Green Lotus Calamities Sword Formation	
7	Evenfall Abode	Evenfall Abode terletak di tepi Celestial Pool di Gunung Nelumbo. Murid-murid mereka adalah ahli alkimia yang terampil, dikenal karena kekuatan penyembuhan dan sikap acuh tak acuh mereka dalam dunia kultivator.			Secret Taoist Records			Spiritualist Five Lotus				Color Smoke Rosy Cloud Great Formation	
8	Mt. Hundred Insects	Sekte kuno Kultus Selatan, sebagian besar terdiri dari orang-orang liar dari Perbatasan Selatan. Mereka sangat jahat dan brutal, seringkali melakukan kejahatan di dunia kultivator yang terlalu mengerikan untuk diceritakan.			Book of a Hundred Poisons			Green Robe Patriarch				Toxic Mind Seizing Formation	
9	Pit of Doom	Sekte jahat yang terletak di Mt. Pitfall yang percaya pada Ibu Bumi. Cara Ekstremitas Ganda adalah teknik pamungkas dalam kodeks rahasia sekte tersebut. Hal ini memungkinkan seseorang untuk memanfaatkan Qi Metamagnet jauh di dalam kerak bumi dan memasukkannya ke dalam tubuh mereka untuk membentuk medan magnet yang kuat. Siapapun yang tidak mengikuti Hukum yang sama akan terkena dampak negatif jika datang dalam jarak 300 meter, merasa sangat tidak nyaman dan aliran Qi terganggu. Oleh karena itu sekte ini sangat sulit untuk disusupi, dan misterius bahkan di kalangan kultivator.			Way of Dual Extremities			Elder of Heavenly Defect				Desolate Veiled Shield	
10	Seven-Slaughtering Sect	Sekte paling jahat di dunia saat ini, sebagian besar dikenal di kalangan kultivator karena teknik pedang mereka yang kejam. Bangunan sekte juga sama agresifnya, dengan formasi pedang yang tangguh berjajar di sekitar sekte tersebut.			Seven-Slaughtering Sword			Seven-Slaughtering Priest				Seven Kills Seven Extremes Formation	
11	Exultant Sect	Sebuah sekte jahat yang berbasis di Pulau Reunion. Murid utamanya semuanya perempuan, yang dikenal di seluruh dunia karena keahlian mereka dalam mengekstraksi Qi dari laki-laki.			Sutra of the Six Disires			Mrs. Goldspirit				Bewitching Peach Blossom Formation	
12	Daemonia Temple	Sebuah faksi besar jahat yang terletak jauh di Gurun Barat Besar.			Shapeshifting Chant			Snake Emperor					
