ID	Name	Desc	sParam1	sParam2

20000	Positive Interaction	Seorang murid {0} sedang berpetualang di dekat {1} ketika mereka bertemu dengan beberapa murid {1}. Mereka segera bergabung satu sama lain dalam petualangan menarik yang membuat nama mereka terkenal di kalangan para kultivator. Oleh karena itu, kedua sekte menjadi sedikit lebih bersahabat dari sebelumnya.		
20001	Positive Interaction	Seorang penatua {0} sedang berpetualang di dekat {1} ketika mereka bertemu dengan beberapa murid {1} yang sedang berlatih. Penatua {0} dengan senang hati membantu murid-murid {1}, dan salah satu dari mereka bahkan berhasil menerobos saat itu. Kisah inspiratif diceritakan di antara para kultivator. Kedua sekte menjadi sedikit lebih bersahabat dari sebelumnya.		
20002	Positive Interaction	Seorang murid {0} sedang berpetualang di dekatnya[PLACE]ketika mereka bertemu dengan seorang penatua {1} yang sedang berlatih. Murid {0} membantu menjalankan tugas mereka dan mendapatkan bantuan dan kepercayaan dari {1} penatua. Mereka bahkan menerima berkah terbaik dari sesepuh setelahnya. Kisah inspiratif diceritakan di antara para kultivator. Kedua sekte menjadi sedikit lebih bersahabat dari sebelumnya.		
20003	Positive Interaction	Seorang tetua {0} sedang bertualang di dekatnya[PLACE]ketika mereka bertemu dengan seorang penatua {1}. Keduanya merasakan hubungan satu sama lain dan memulai diskusi mendalam tentang kultivasi. Ketika diskusi yang cerdik berlangsung, fenomena aneh mulai terjadi dan hewan menjadi spiritual. Kisah ini menyebar di kalangan petani. Oleh karena itu, kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20004	Positive Interaction	Seorang tetua {0} sedang bertualang di dekatnya[PLACE]ketika mereka bertemu dengan seorang penatua {1}. Bersama-sama, keduanya mengunjungi tempat-tempat indah di dekatnya, secara tidak sengaja menemukan rumah gua abadi yang kuno, dan mereka berdua menemukan banyak harta karun setelah mencari di tempat itu. Kisah ini diceritakan kembali dalam versi yang berbeda dan disebarkan di kalangan petani. Oleh karena itu, kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20005	Positive Interaction	Seorang tetua {0} sedang bertualang di dekatnya[PLACE]ketika mereka menyelamatkan karavan manusia yang diserang oleh binatang buas. Anehnya, kelompok orang tersebut adalah keluarga dari {1} tetua utama. Setelah itu, seluruh {1} mengungkapkan rasa terima kasih mereka atas peningkatan bantuan mereka terhadap {0}. Oleh karena itu, kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20006	Positive Interaction	Seorang tetua {0} sedang mencoba menundukkan artefak yang digali[PLACE]ketika mereka menemukan ada sepasang artefak warisan spiritual. Terkejut, {0} hampir kehilangan artefaknya. Syukurlah, seorang tetua {1} kebetulan ada di sana untuk membantu menaklukkan mereka. Keduanya membagi artefak warisan spiritual dan menjadi teman baik setelahnya. Kisah inspiratif diceritakan di antara para kultivator. Kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20007	Positive Interaction	Seorang tetua {0} sedang bertualang di dekatnya[PLACE]ketika mereka bertemu dengan sesepuh {1} yang diserang oleh banyak binatang berbahaya. Tetua {0} memutuskan untuk mengambil risiko dan membantu membunuh monster tersebut, dan pada akhirnya mendapatkan keuntungan besar. Keduanya mengembangkan kekaguman satu sama lain dan akhirnya menjadi pasangan Tao. Kisah ini diceritakan di antara para petani. Kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20008	Positive Interaction	Seorang tetua {0} sedang bertualang di dekatnya[PLACE]ketika mereka bertemu dengan sesepuh {1} yang dikejar musuh mereka. Tanpa bantuan atau bantuan apa pun, tetua {0} turun tangan, membunuh puluhan orang dan mengantar mereka ke markas {1}. Kisah sensasional diceritakan di antara para petani. Kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20009	Positive Interaction	Seorang murid {0} sedang mengunjungi gunung {1} ketika mereka bertemu dengan beberapa murid dalam {1} yang sedang berlatih pertarungan pedang. Mereka semua berbagi teknik yang berbeda satu sama lain dan memainkan banyak pertandingan yang luar biasa, baik tuan rumah maupun tamu merasa puas. Pertandingan tersebut diceritakan di antara para petani. Kedua sekte menjadi sedikit lebih bersahabat dari sebelumnya.		
20010	Positive Interaction	Seorang tetua {0} mengunjungi markas {1}, bertemu langsung dengan pemimpin sekte {1}, dan melakukan diskusi rahasia yang berlangsung selama berhari-hari sebelum akhirnya mereka pergi secara diam-diam. Seseorang dengan sengaja membocorkan cerita tersebut, sehingga menimbulkan spekulasi di kalangan para penggarap. Oleh karena itu, kedua sekte menjadi lebih bersahabat dari sebelumnya.		
20011	Negative Interaction	Seorang murid {0} sedang berpetualang di dekat {1} ketika mereka bertemu dengan beberapa murid {1}. Perkelahian terjadi di antara mereka karena sedikit perbedaan pendapat, sehingga menimbulkan korban yang tidak diinginkan di kedua belah pihak. Kisah ini dibahas di antara para petani. Kedua sekte ini menjadi sedikit lebih bermusuhan satu sama lain dibandingkan sebelumnya.		
20012	Negative Interaction	Seorang tetua {0} sedang berpetualang di dekat {1} ketika mereka bertemu dengan beberapa murid {1} yang arogan dan mendominasi yang kemudian menghina {0}. Terprovokasi oleh kata-kata mereka, {0} tetua mengamuk dan membunuh. Kisah ini berspekulasi dan didiskusikan di antara para petani. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dibandingkan sebelumnya.		
20013	Negative Interaction	Seorang murid {0} sedang berpetualang di dekatnya[PLACE]ketika mereka melihat sesepuh {1} sedang berlatih pengasingan di sana. Murid {0} bersembunyi di sana selama berhari-hari dan secara diam-diam menyerang sesepuh itu pada saat kritis latihan mereka. Terkejut, sang sesepuh kehilangan kendali atas kekuatan mereka dan praktik tersebut menjadi bumerang, menghancurkan tubuh dan jiwa sang sesepuh. Para penggarap terlibat dalam perdebatan sengit mengenai cerita tersebut. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dibandingkan sebelumnya.		
20014	Negative Interaction	Seorang tetua {0} sedang bertualang di dekatnya[PLACE]ketika mereka bertemu dengan seorang penatua {1} yang sedang memberikan ceramah. Penatua {0} menyembunyikan kehadiran mereka dan dengan sengaja menyabotasenya, mengubah ceramah {1} menjadi lelucon dan merusak reputasi {1}. Kisah ini diceritakan sebagai lelucon di kalangan petani. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dibandingkan sebelumnya.		
20015	Negative Interaction	Seorang tetua {0} sedang bertualang di dekatnya[PLACE]ketika mereka bertemu dengan seorang penatua {1}. Setelah mengikuti, mereka menemukan {1} tetua telah menemukan rumah gua abadi yang kuno. Penatua {0} ingin membagi kekayaan tetapi ditolak oleh penatua lainnya. Perkelahian terjadi di antara keduanya, menyebabkan kerusakan parah pada tanaman dan hewan di dekatnya. Kisah ini menarik perhatian banyak petani. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dibandingkan sebelumnya.		
20016	Negative Interaction	Seorang tetua {0} sedang bertualang di dekatnya[PLACE]ketika mereka menemukan tempat tersembunyi di mana Qi berkumpul, yang ternyata merupakan sesepuh {1} yang sedang mengalami kesengsaraan di sana. Penatua {0} membentuk formasi yang mengubah Lima Elemen lokasi, secara drastis meningkatkan kekuatan Kesengsaraan. Tubuh dan jiwa {1} tua itu langsung dilenyapkan. Kisah tersebut mengguncang dunia para kultivator. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dibandingkan sebelumnya.		
20017	Negative Interaction	Seorang tetua {0} sedang mencari artefak yang digali[PLACE]ketika mereka mengetahui bahwa seorang penatua {1} telah selangkah lebih maju. Tetua {0} memulai pertarungan saat keduanya meminta bantuan, mengubahnya menjadi pertarungan agresif yang melibatkan banyak kultivator. Kisah ini menarik banyak perhatian banyak petani. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dibandingkan sebelumnya.		
20018	Negative Interaction	Seorang tetua {0} sedang bertualang di dekatnya[PLACE]ketika mereka bertemu dengan karavan dari {1} yang membawa obat-obatan langka dan harta karun. {0} melompat dan merampok semua sumber daya mereka. {1} sangat marah dan memberi tahu semua penggarap kejadian ini, menuntut {0} untuk merespons. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dari sebelumnya.		
20019	Negative Interaction	Seorang murid {0} sedang berpetualang di dekatnya[PLACE]ketika mereka bertemu dengan seorang murid yang sangat jenius yang mungkin merupakan reinkarnasi seorang kultivator kuno. Namun tanpa diduga, murid ini telah dipilih oleh sesepuh {1} dan berada di bawah pengawasan rahasia mereka. Perkelahian sengit terjadi antara kedua tetua karena murid ini, yang akhirnya menyebabkan pemimpin sekte mereka turun tangan. Kisah sensasional diceritakan di antara para kultivator. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dari sebelumnya.		
20020	Negative Interaction	Seorang tetua {0} menyelinap ke ruang harta karun {1}, mengambil banyak harta dan bahkan pergi tanpa menimbulkan kecurigaan. Hal ini kemudian diketahui oleh {1}, seluruh sekte {1} marah. Kisah sensasional diceritakan di antara para petani. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dari sebelumnya.		
20021	Negative Interaction	Seorang tetua {1} menyelinap ke ruang harta karun {0}, mencoba mencuri obat-obatan langka dan harta karun sebelum ditangkap oleh {0}. Marah, pemimpin sekte {0} membutakan dan melumpuhkan penyerang sebagai peringatan bagi seluruh dunia. Kisah sensasional diceritakan di antara para petani. Kedua sekte ini menjadi lebih bermusuhan satu sama lain dari sebelumnya.		
20022	Negative Interaction	Baru-baru ini, murid kesayangan para tetua {0} berselisih dengan beberapa murid terdekat {1}[PLACE], dan itu meningkat dengan cepat sampai tetua kedua sekte datang dan bergabung dalam pertarungan, mengubahnya menjadi pertarungan sihir yang besar.	The battle continued for months with countless casualties, and {0} finally won. Its disciples also advanced their skills in the battle of magic, strengthening the sect's power. On the other hand, {1} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.	The battle continued for months with countless casualties, but {0} finally lost as their sect's power was greatly weakened. On the other hand, {1} was strengthened and gained a lot of power. After the battle, the two sects have become more hostile to each other than ever.
20023	Negative Interaction	Baru-baru ini, {0} dan {1} menemukan reruntuhan rumah gua di dekatnya[PLACE]pada saat yang sama, yang diceritakan menyimpan ajaran penting dari seorang bijak kuno. Kedua sekte mengirimkan elitnya untuk memperjuangkan peruntungan tempat ini; pertarungan sihir yang intens terjadi.	After several fights, {0} eventually earned the Immortal Abode, strengthening the sect's power. On the other hand, {1} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.	After several fights, {1} eventually earned the Immortal Abode, strengthening the sect's power. On the other hand, {0} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.
20024	Negative Interaction	Apa pun alasannya, {0} baru-baru ini memerintahkan banyak muridnya untuk menyerang gunung {1} sekaligus. Kedua sekte tersebut membentuk formasi di sana, mengganggu fenomena alam di dekatnya; peristiwa tersebut mengguncang dunia para kultivator.	{0} had the upper hand and eventually won. Its disciples also advanced their skills in the battle of magic, strengthening the sect's power. On the other hand, {1} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.	{1} had the upper hand of facing away from the sect gate and eventually won. Its disciples also advanced their skills in the battle of magic, strengthening the sect's power. {0} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.
20025	Negative Interaction	Baru-baru ini, orang bijak {0} dibunuh[PLACE]oleh {1}. Setelah kehilangan tokoh sentralnya, seluruh {0} menjadi marah dan melancarkan serangan pada pukul {1}[PLACE]untuk membalas dendam. Kedua sekte mengirimkan ratusan murid dan bertempur selama beberapa hari; aura pedang mereka menyapu daratan di dekatnya, melukai dan membunuh banyak makhluk.	In the battle of magic, the infuriated {0} started attacking and almost wiped out the opponent sect. Its disciples also advanced their skills, strengthening the sect's power. On the other hand, {1} was greatly damaged and weakened. After the battle, the two sects have become more hostile to each other than ever.	In the battle of magic, the infuriated {0} lost their position in defense and stepped right in the {1}'s interlocking traps, eventually losing to the opponent as the sect's power was weakened. On the other hand, {1} was strengthened and gained a lot of power. After the battle, the two sects have become more hostile to each other than ever.
20026	Negative Interaction	Baru-baru ini, banyak obat langka dan harta karun {0} dicuri. Seorang tetua sekte menggunakan Pelacakan Cermin untuk menemukan petunjuk, dan ternyata petunjuk itu dicuri oleh murid {1}. Saat ditanya oleh {0}, {1} menolak mengakui bahwa mereka mengetahui apa pun. Perbedaan mereka menjadi tidak dapat didamaikan, menyebabkan rencana pertarungan sihir mereka semakin dekat[PLACE]untuk memutuskan siapa yang benar.	{0} sent out all their elites in the battle of magic, gained the upper hand and finally forced {1} to surrender and pay for compensation. The {0}'s power was also strengthened. On the other hand, {1} paid a double penalty and was greatly weakened. The two sects have become more hostile to each other than ever.	In the battle of magic, {1} gained the upper hand as they had prepared in advance and successfully forced {0} to retreat, strengthening the sect's power. {0} lost many treasures over nothing, and the sect's power was weakened.
20027	Negative Interaction	Baru-baru ini, {0} diam-diam menghubungi seorang pertapa kuno dan meminta mereka untuk bergabung dengan sekte tersebut sebagai tetua tamu. Ternyata {1} juga tertarik dengan penggarap tersebut. Marah, {1} dengan cepat mengirimkan sekelompok elit sekte untuk mencegat sekelompok orang yang mengawal penggarap di[PLACE].	Due to their appreciation of the ancient cultivator, {0} sent out several elite elders and fought off the enemies, strengthening the sect's power. On the other hand, {1} paid a double penalty and was greatly weakened.	{0} was taken by surprise as the opponent had prepared in advance, and many disciples died in the battle. {1} seized the chance and took many artifacts and secret treasures left behind by the ancient cultivator, strengthening the sect's power.
