ID	Type	Kind	Rate	Times	Content	FlagID
	0无，1玄穹录，2群仙册，3红尘记，4轮回书	轮训周期：Start,End,KeyEvet1,KeyEvet2,KeyEvet3,KeyEvet4,MajorEvnt	权重	时间区间（天数）	故事内容	
1	1	Start	10	24|24	[NAME]Lewati semua kesengsaraan di dunia，Akhirnya melampaui dunia，Naik ke alam Sembilan Roh Surga。	
2	1	End	10		[NAME]Saat bepergian ke negeri dongeng，Makan makanan aneh secara kebetulan[DAN1]。Namun, yang tidak terduga adalah hal itu，Benda ini ternyata adalah spesies asing yang bertransformasi dari kekacauan，[NAME]Setelah meminumnya, Tao Xing meningkat drastis.，Tidak dapat menekan，Akhirnya dengan cahaya，Inkarnasi surga。	
3	1	End	10		[NAME]Saat bepergian di dunia peri，Saya tidak sengaja mengetahui tentang misteri Daluo Jinxian。Ternyata semua makhluk abadi itu bebas dan bahagia，Namun ada juga perbedaan dalam pencapaiannya，Hanya setelah seluruh kondisi manusia sempurna barulah seseorang dapat merealisasikan Hukum Agung，Ciptakan dunia di luar kekacauan。[NAME]Tiba-tiba mendambakan ini，Untuk membuktikan Da Luo，Masuk kembali ke reinkarnasi dengan tegas。	
4	1	End	10		[NAME]Dia telah berkultivasi di dunia abadi selama bertahun-tahun，Akhirnya menyentuh ambang alam abadi。Namun, kondisi pikirannya kurang dalam berkultivasi，Tersesat dalam menerobos alam samsara，Budidaya keluarga Immortal benar-benar musnah dalam satu hari，Kembali ke reinkarnasi。	
5	1	End	10		[NAME]Bepergian ke dunia peri selama bertahun-tahun，Akhirnya memutuskan untuk tidak berlarian lagi，mudah untuk[PLACE1]Mencari tempat harta karun untuk disembunyikan，Mulai sekarang, negeri ajaib itu sulit ditemukan，gratis dan mudah。	
6	1	End	10		[NAME]Dalam proses perjalanannya ke dunia peri, dia berulang kali berpartisipasi dalam perselisihan antar keluarga peri.，Akhirnya sulit untuk mematahkan karma，Hati peri tersesat dalam kemunduran，Hilangnya wujud dan ruh，masuk kembali ke reinkarnasi。	
7	1	End	10		[NAME]Sayangnya, dia terinfeksi nafas iblis selama perang antara dunia peri dan monster.，Pada saat ditemukan, kondisinya sudah tidak dapat diselamatkan lagi。Untuk mencegah demonisasi total dan transformasi menjadi monster，[NAME]Saya hanya bisa kehilangan kultivasi saya，masuk kembali ke reinkarnasi。	
8	1	End	10		[NAME]bepergian ke[PLACE1]jam，Ditemukan di sini bernama[EVENT1]penampakan langit dan bumi。Untuk memahami misteri ini，[NAME]Memutuskan untuk membuka gua di kehampaan terdekat，Tenang。\n    dalam sebuah meditasi，Penglihatan tiba-tiba berubah dan terjadi perubahan，[NAME]Tidak memperhatikan sejenak，Pikiran ditangkap olehnya，Semua kekuatan surgawi di seluruh tubuh diubah oleh tontonan ini，Terserap ke dalam visi langit dan bumi，tidak ada lagi jejak。	
9	1	End	10		[NAME]Dia telah berkultivasi di dunia abadi selama bertahun-tahun，Akhirnya menyentuh ambang alam abadi。Namun, kekuatan sihirnya tidak cukup halus，Meskipun saya telah melewati keadaan reinkarnasi,，Namun dalam proses pembentukan kembali Tubuh Abadi tanpa Kebocoran saja tidaklah cukup.。[NAME]Tidak ingin hidup sebagai peri，Kemudian dia mengkultivasi dirinya sendiri，masuk kembali ke reinkarnasi。	
10	1	End	10		[NAME]Saat bepergian di dunia peri，secara tidak sengaja[NAME1]Para murid dirobohkan dari dunia fana。[NAME1]Untuk menentukan sebab dan akibat，Ambil tindakan secara pribadi，Akan[NAME]Budidaya terhenti，Masuki reinkarnasi。	
11	1	End	10		[NAME]Saat bepergian di dunia peri，Pada[PLACE1]Menghadapi wabah kesenjangan ajaib。Untuk mencegah terjadinya pewarnaan setan skala besar，Semua makhluk abadi bekerja sama untuk memblokir tempat ini，Melawan monster selama beberapa dekade。[NAME]Dan sayangnya tewas dalam perang ini，masuk kembali ke reinkarnasi。	
12	1	End	10		[NAME]Pada[PLACE1]saat bepergian，bertemu[MONSTER1]pengepungan，Tubuh abadi dihancurkan。sebagai upaya terakhir[NAME]Saya harus menghilangkan kekuatan abadi saya sendiri，masuk kembali ke reinkarnasi。	
13	1	KeyEvet1	10	100|900	[NAME]Saat bepergian ke negeri dongeng，tiba-tiba terasa[IDEA1]，Di bawah pengaruh inspirasi，Pahami Jalan Keabadian。Pada[PLACE1]Tinggal dalam pengasingan selama lebih dari sepuluh tahun，Membentuk kembali tubuh abadi yang sempurna，Wawasan tentang siklus reinkarnasi，Mencapai alam keabadian。\n    Seribu tahun di alam reinkarnasi，Melihat ke belakang, saya merasa masa lalu seringan asap。saat ini[NAME]Baru pada saat itulah saya akhirnya mengerti kurang lebih，Apa itu surga surga，Mengapa nenek moyang ascended tersebut tidak pernah kembali ke dunia manusia?。	
