ID	Name	Desc

1	First-time Ascension	1 orang naik
2	Ascension Adept	3 orang naik
3	Frequent Ascension	5 orang naik
4	Renowned Cultivator	10 orang naik
5	Young and Inexperienced	Total 1 petualangan
6	Casual Adventurer	Total 100 petualangan
7	Expert Adventurer	Total 500 petualangan
8	Adventure Master	Total 1.000 petualangan
9	First-time Alchemist	1 latihan alkimia
10	Skilled Alchemist	50 praktik alkimia
11	Great Alchemist	100 praktik alkimia
12	Master Alchemist	500 praktik alkimia
13	First-time Craftsman	1 artefak dibuat
14	Skilled Craftsman	50 artefak dibuat
15	Expert Craftsman	100 artefak dibuat
16	Master Craftsman	500 artefak dibuat
17	First-time Drawing	1 jimat ditarik
18	Skilled Drawing	50 jimat ditarik
19	Expert Drawing	100 jimat ditarik
20	Master Drawing	500 jimat ditarik
21	First-time Killer	1 makhluk terbunuh
22	Professional Killer	100 makhluk terbunuh
23	Stone Cold Killer	500 makhluk terbunuh
24	Slayer	1.000 makhluk terbunuh
25	Cultivator Killer	1 petani terbunuh
26	Cultivators' Nemesis	100 petani terbunuh
27	Butcher of Cultivators	500 petani terbunuh
28	Slayer of Cultivators	1.000 petani terbunuh
29	First-time Searcher	1 jiwa dicari
30	Skilled Searcher	10 jiwa dicari
31	Expert Searcher	50 jiwa dicari
32	Master Searcher	100 jiwa dicari
33	Cook	10 jenis makanan dimasak
34	Chef	20 jenis makanan dimasak
35	Master Chef	50 jenis makanan dimasak
36	A Flash of Insight	1 karya seni Tingkat VII dibuat
37	Flow of Ideas	10 karya seni Tingkat VII dibuat
38	Gifted Artist	50 karya seni Tingkat VII dibuat
39	One More Sell	1 wisatawan dibujuk untuk bergabung
40	Five More Sells	5 wisatawan dibujuk untuk bergabung
41	Ten More Sells	10 wisatawan dibujuk untuk bergabung
42	The More The Merrier	20 wisatawan dibujuk untuk bergabung
43	First-time Reader	1 manual dipelajari melalui membaca
44	Avid Reader	10 manual dipelajari melalui membaca
45	Scholar	50 manual dipelajari melalui membaca
46	Bibliophile	100 manual dipelajari melalui membaca
47	Unfortunate Accident	1 murid meninggal
48	Misfortunes Never Come Singly	5 murid meninggal
49	When It Rains, It Pours	10 murid meninggal
50	Fragility of Life	50 murid meninggal
51	Heavy Loss	1 murid batin meninggal
52	Great Loss	5 murid batin meninggal
53	Tragic Loss	10 murid batin meninggal
54	Heartbroken	20 murid batin meninggal
55	I Am You	1 orang kesurupan
56	They Are Me	5 orang kesurupan
57	I Am Everyone	10 orang kesurupan
58	King of Possession	20 orang kesurupan
59	Blink of an Eye	Total meditasi 100 tahun
60	As Time Goes By	Total meditasi 500 tahun
61	Forgotten Years	Total meditasi 1.000 tahun
62	Master of Solitude	Total meditasi 5.000 tahun
63	Give Me Your Life	Total 10 tahun umur orang lain dicuri
64	Give Me More Life	Total 50 tahun umur orang lain dicuri
65	Such Is Life	Total 500 tahun umur orang lain dicuri
