ID	Desc	Name

1	[b][align=center][color=#ffe5a1][size=22]Konten Baru: Binatang Purba[/size][/color][/align][/b]Bunuh binatang purba dan dapatkan material langka, yang memberikan ruang pertumbuhan baru bagi para pembudidaya.\n\n[b][color=#F2D896][size=20]Naga Banjir: [/size][/color][/b]\nDengan pulihnya Qi langit dan bumi, telur naga tersegel di pegunungan roda bulan di zaman dahulu menetas kembali. Naga yang baru menetas membuka permukaan bumi dengan kekuatan magis dan ingin membantunya pulih dengan memperbudak makhluk di permukaan bumi melalui keajaiban.\n\n[b][size=20][color=#F2D896]Phoenix: [/color][/size][/b]\nArea terlarang naga kuno di Longtai muncul kembali. Orang-orang pergi mencari peluang. Tapi tidak ada yang menyangka bahwa formasi yang digunakan untuk menyegel Phoenix yang ganas, musuh besar klan naga, juga telah dihancurkan secara tidak sengaja oleh orang-orang yang tidak tahu apa-apa tentangnya. Dikatakan bahwa Phoenix yang ganas pada awalnya adalah binatang yang membawa keberuntungan di zaman kuno. Setelah membunuh dan merampok, ia menjadi nirwana. Setelah bangun lagi, sudah hiruk pikuk. Kekuatan dahsyatnya tak tertandingi. Ia bahkan memakan naga. Itu juga merupakan eksistensi paling sengit di zaman kuno ketika ada banyak orang kuat. Sekarang Phoenix yang ganas itu pulih kembali. Meskipun kekuatannya bukan satu dari sepuluh, ia mungkin juga menjadi bencana di dunia...\n\n[b][size=20][color=#F2D896]Naga Obor: [/color][/size][/b]\nNaga obor pada awalnya merupakan perwujudan jalan yin dan Yang di dunia. Ia telah kembali ke Tao sejak zaman kuno. Kini, perselisihan yang semakin sengit antara kebaikan dan kejahatan sekali lagi mengganggu jalan yin dan yang. Dipengaruhi oleh mesin Qi ini, tubuh asli naga obor kembali terwujud di dunia dalam bentuk yang kacau.	Ancient Beasts
2	[b][align=center][color=#ffe5a1][size=22]Konten Baru: Relik Fengshui[/size][/color][/align][/b][b][size=20][color=#F2D896]Pembuatan relik: [/size][/color][/b]\nItem dapat menjadi peninggalan fengshui secara tidak sengaja. Ketika mereka dimurnikan oleh hantu, ada juga peluang. Semakin tinggi tingkatan item, semakin tinggi peluangnya.\n\n[b][size=20][color=#F2D896]Identifikasi Fengshui: [/size][/color][/b]\nKeajaiban baru 'Identifikasi Fengshui', dapat digunakan untuk mengidentifikasi peninggalan fengshui.\n\n[b][size=20][color=#F2D896]Persyaratan relik: [/size][/color][/b]\nMenempatkan fengshui peninggalan di dalam ruangan dan memenuhi kebutuhannya dapat meningkatkan fengshui ruangan menjadi sangat menguntungkan, jika tidak maka peninggalan tersebut akan menjadi sangat tidak menyenangkan.\n\n[b][size=20][color=#F2D896]Peninggalan Makhluk: [/size][/color][/b]\nPeninggalan makhluk akan memberikan atribut tambahan pada karakter jika memenuhi persyaratan dan keburukannya sebaliknya.\n\n[b][size=20][color=#F2D896]Peninggalan khusus: [/size][/color][/b]\nBeberapa peninggalan dengan asal usul tertentu sering kali memiliki efek yang sangat istimewa dan kuat, seperti Pagoda Jiwa dan jimat mayat kekaisaran. Kota-kota ini tersembunyi di tempat rahasia atau memiliki kepemilikannya sendiri dan perlu ditemukan sendiri.	Fengshui Relics
3	[b][align=center][color=#ffe5a1][size=22]Konten Baru: Pendarahan Hewan[/size][/color][/align][/b][b][size=20][color=#F2D896]Hewan jinak: [/size][/color][/b]\nSekarang Anda dapat memberi makan hewan cacat dan menjinakkannya dengan makanan favoritnya sebagai umpan.\n\n[b][size=20][color=#F2D896]Hewan Bleed: [/size][/color][/b]\nPemain dapat merencanakan padang rumput untuk hewan dengan merencanakan area padang rumput. Setelah hewan dijinakkan, mereka akan melakukan produksi dan pembiakan, sehingga dapat memberikan output dan menambah vitalitas sekte tersebut.\n\n[b][size=20][color=#F2D896]Interaksi Hewan Peliharaan: [/size][/color][/b]\nHewan peliharaan akan berinteraksi erat dengan karakter, dan pemain juga dapat membiarkan hewan peliharaan mengikuti karakter. Dalam proses interaksinya, karakter bahkan bisa mendapatkan wawasan darinya.	Animal breed
4	[b][align=center][color=#ffe5a1][size=22]Konten Baru: Akar Roh[/size][/color][/align][/b][b][size=20][color=#F2D896]Akar roh tanaman: [/size][/color][/b]\nSekarang lima elemen buah dapat ditanam. Akar roh memerlukan kondisi yang keras, tetapi juga akan sangat membantu bagi budidaya.\n\n[b][size=20][color=#F2D896]Pemeliharaan: [/size][/color][/b]\nSelama akar roh tumbuh, mereka dapat dipelihara dengan item yang berbeda. Akar roh dapat bereaksi berbeda terhadap benda, bahkan mengembalikan beberapa benda istimewa.\n\n[b][size=20][color=#f2d896]Simpati:[/size][/color][/b]\nSelama pertumbuhan tumbuhan roh, jika karakter berlatih di dekat tumbuhan roh, dia akan memasuki keadaan simpati terhadap tumbuhan roh. Karakter akan memperoleh simpati sesuai dengan keadaan tanaman roh\dalam keadaan simpatik, karakter akan semakin dekat dengan tanaman roh. Terakhir, dengan bantuan tumbuhan roh, Anda dapat mengintip asal usul lima elemen dan memahami skrip rahasia yang istimewa dan kuat\n\n[b][size=20][color=#f2d896]Fase tumbuhan spiritual:[/size][/color][/b]\ntanaman spiritual memiliki dua kecenderungan: memberkati dan mengutuk, yang ditentukan oleh nilai kecenderungan memberkati. Dalam proses pertumbuhan tanaman spiritual, kondisi pertumbuhannya akan mempengaruhi kecenderungan fasenya\nJika tanaman spiritual memberkati, ia akan tumbuh perlahan, tetapi akan memberi makan kembali dan memperbaiki lingkungan sekitarnya. Jika tanaman spiritual dikutuk, ia akan tumbuh lebih cepat, tetapi akan menyerap aura dan nutrisi di sekitarnya dua kali lipat, sehingga memperburuk lingkungan sekitar\nTanaman spiritual memiliki kecenderungan awal menurut jenisnya yang berbeda-beda. Selain itu, kecenderungan fase berkaitan dengan lima unsur: atribut nutrisi, cuaca, atribut rata-rata lingkungan sekitar dalam 10x10, atribut peran simpatik dan musim. Secara umum, jika lima elemen melahirkan tumbuhan roh, berkahnya akan meningkat, sebaliknya.\n\n[b][size=20][color=#f2d896]Peristiwa tumbuhan spiritual:[/size][/color][/b]\ntanaman spiritual akan memicu beberapa peristiwa selama pertumbuhannya, seperti menyebabkan perubahan di langit, membawa pencerahan pada Tao, memadatkan harta berharga seperti Embun Keberuntungan, dan bahkan menarik invasi monster. Peristiwa-peristiwa ini merupakan peluang sekaligus tantangan. Pemurnian membawa bantuan besar bagi pertumbuhan.	Spirit Roots
5	[b][align=center][color=#ffe5a1][size=22]Peristiwa Baru: Orang Bijak Kuno[/size][/color][/align][/b]Dengan kebangkitan binatang purba, orang bijak kuno yang hidup dalam pengasingan juga telah muncul. Dengan nama mereka sendiri, budidaya yang kuat, dan harta karun yang unik, mereka menunggu Anda untuk menantang mereka.	Ancient Sages
6	[b][align=center][color=#ffe5a1][size=22]Isi Baru[/size][/color][/align][/b][b][size=20][color=#F2D896]Panda peliharaan baru menambahkan keajaiban: [/size][/color][/b]\nTeman Alami: Menjinakkan hewan liar.\n\n[b][size=20][color=#F2D896]Hewan peliharaan baru: [/size][/color][/b]\n[b]·[/b]Float Dragon Changhai\n[b]·[/b]Dark Phoenix Yiming\n\n[b][size=20][color=#F2D896]Bangunan baru: [/size][/color][/b]\n[b]·Patung Naga Apung: [/b]Dapat digunakan untuk menghidupkan kembali atau memanggil Naga Apung.\n[b]·Patung Phoenix Gelap: [/b]Dapat digunakan untuk menghidupkan kembali atau memanggil Phoenix Gelap.\n\n[b][size=20][color=#F2D896]Buka kunci item: [/size][/color][/b]\n[b]·Telur Naga Banjir: [/b]\nTelur Naga Banjir yang belum menetas; itu menunjukkan tanda-tanda kehidupan yang jelas. Untuk menetaskan telur, telur harus berada di tempat dengan suhu di bawah -200 derajat, sangat kaya akan Qi, dan sangat mendukung elemen Air.\n[b]·Telur Phoenix: [/b]\nTelur burung phoenix yang belum menetas, di dalamnya terdapat tanda-tanda kehidupan yang jelas. Untuk menetaskan telur harus berada di tempat dengan suhu di atas 300 derajat, sangat kaya Qi, dan sangat kondusif bagi elemen Api.	Other Contents
7	[b][align=center][color=#ffe5a1][size=22]New Content: Shendao Cultivation[/size][/color][/align][/b]A new shendao cultivation from ancient times, which allows you to collect the power of faith from mortals for use. Use the power of faith to open up a divine realm in the void, ascend to the divine throne, draw the power of the protectors of the heavens into one body, and create your own divine weapon of faith. \n\n[b][size=20][color=#F2D896]New laws: [/size][/color][/b]\n[b]-Celestial Thunder Salvation Sutra: [/b]\nIt is the inheritance of the Thunder Ancestor, practicing this law can borrow the Thunder Ancestor's spirit guide, calling the protection of the spirits of the Nine Heavens Thunder Department, focusing on the imperial weapon attack. \n[b]-Eight Heavens Sadhana: [/b]\nIt is an inheritance from the Western Outer Heavens. Practising this method allows one to draw on the spirit guides of the Heavens to call upon the protection of the eight divisions of spirits, focusing on the way of magic. \n[b]-Nether Salvation Sutra: [/b]\nIt is inherited from the Ancestors of the Underworld, and the practice of this method can draw on the nine ghostly guides to summon the protection of the spirits of the ten directions of the Underworld, focusing on the way of protection. \n\n[b][size=20][color=#F2D896]Gaining followers:[/size][/color][/b]\nA Shendao cultivator uses his influence from all over the world to gain the attention of mortals and collect their power of faith.\n\n[b][size=20][color=#F2D896]State of mind:[/size][/color][/b]\nThe Shendao cultivator opens up a whole new realm of mind, Move Calm Still Sagely Wise Empty Spirit The seven states of mind, each with its own wonderful meaning, await breakthrough. \n\n[b][size=20][color=#F2D896]Humanity and divinity:[/size][/color][/b]\nAs one deepens one's divine cultivation, one gradually acquires divinity and loses one's humanity. This process is almost irreversible, and there are only a few ways to recover a limited amount of humanity. As divinity increases, the divine cultivation character gradually loses human emotions, but also has increased control over divine power. Once the character's divinity reaches 100, the character will lose all humanity and forcefully trigger the faith tribulation, and if the tribulation is successfully passed, he or she will leave behind a legacy and become a deity. \n\n[b][size=20][color=#F2D896]Sacred Relics of Faith:[/size][/color][/b]\nA cultivator of the divine law can refine his or her only native magic weapon. The sacred relic is initially mediocre, but as the Divine Realm is built, the ability of the relic will gradually increase. It even breaks through the limits and becomes an unparalleled supreme treasure. \n\n[b][size=20][color=#F2D896]Opening the Divine Realm: [/size][/color][/b]\nWhen a cultivator of the Divine Path reaches a certain level of cultivation, he or she can open their own Divine Realm. When a character opens a divine realm, the higher the number of believers, the higher the level of mind, the stronger the divinity, the calmer the mind, and the more properly the location is arranged, the larger the initial area of the Divine Realm will be. Consuming faith in the divine realm, building and improving all aspects of the divine path cultivator's abilities. \n\n[b][size=20][color=#F2D896]Sacrifice to the Guardian:[/size][/color][/b]\nUnlike the traditional Golden Core practice of comprehending various secrets to strengthen oneself, the Shendao cultivators primarily gains unparalleled divine power by building a hall of guardians in the shendao realm and making offerings to them, with different types of guardians providing different divine power. The various divine practices are blessed with a number of unique protectors, which are unlocked as the level of the practice increases. But there are more divine protectors in heaven and earth waiting to be acquired by characters in their quests and strange encounters. \n\n[b][size=20][color=#F2D896]Listen to all beings:[/size][/color][/b]\nListen to the wishes of all beings in the realm of the gods, consume their faith, fulfil their wishes, and gain more followers. \n\n[b][size=20][color=#F2D896]Acquisition of the divine name:[/size][/color][/b]\nThe unique divine name is given to the Shendao cultivator according to what he has done, his level of training and the number of followers, which is a unique achievement and sign of the Shendao cultivator. \n\n[b][size=20][color=#F2D896]Core followers:[/size][/color][/b][/b]\nWalk the world, looking for people who have a destiny with Shendao cultivators, getting a breakthrough from their information, giving them a head start, persuading them to transcend from the sea of red earth and suffering, and following the Shendao cultivators to explore the true meaning of practice. \n\n[b][size=20][color=#F2D896]The Heavenly Tribulation of Faith:[/size][/color][/b]\nAlthough there are no barriers to the practice of the Shendao path, the challenges of the Heavenly Tribulation are formidable if one wishes to reach the summit. There are three kinds of faith-based heavenly calamities that cultivators have to face in the course of Shendao practice.	Shendao Cultivation
8	[b][align=center][color=#ffe5a1][size=22]Konten Baru: Perluasan Sekte[/size][/color][/align][/b][b][size=20][color=#F2D896]Buka Ekspansi Sekte:[/size][/color][/b]\nManusia di seluruh dunia mengeluh dan membutuhkan bantuan dari berbagai sekte. Namun, tidak nyaman bagi mereka yang memupuk keabadian untuk campur tangan secara langsung, sehingga mereka dapat membentuk agen fana untuk memahami mata pencaharian masyarakat dan mengumpulkan orang-orang percaya. \n[b][size=20][color=#F2D896]Pembuatan agen:[/size][/color][/b]\nKonten yang dapat dibuat bervariasi dari satu titik agen ke titik agen lainnya. Setiap hari Anda dapat mengumpulkan keyakinan atau keluhan untuk dikumpulkan oleh para kultivator. Dibagi menjadi kota dan wilayah. Kirimkan murid yang paling mampu menghadapi dunia untuk menjadi agen yang bertanggung jawab. \n\n[b]-[/b]Wilayah meliputi: Gunung Selatan, Dataran Tengah, Gurun Besar, Dataran Tepi Sungai, Dataran Salju Besar, dan Selatan Liar. \n[b]-[/b]Kota meliputi: Kota Tepi Sungai, Pemandangan Laut, Desa Ekor Ular, Kota Kelimpahan, Kota Kesunyian. \n[b]-[/b]Dapat dibangun: Aula utama, Lapangan, Tambang, Kamp Penebangan, Tambang Batu Roh, Kuil Disiplin, Paviliun Rahasia, Kuil Ilahi, Aula Master Roh, Patung, dll. \n\n[b][size=20][color=#F2D896]Kebijakan:[/size][/color][/b]\nagent points dapat mengambil berbagai kebijakan, di mana agen lebih memilih jenis tindakan tertentu, tetapi menggunakan nilai pengaruh. Untuk mengumpulkan umat beriman, menemukan harta karun, memperoleh perbekalan dasar, mengumpulkan Tao, atau mengganggu alam fana, Anda perlu memahami inti dari kejadian \n\n[b][size=20][color=#F2D896]Murid: [/size][/color][/b]\n\nBanyak murid luar dan tidak berguna? Kirim lebih banyak murid luar ke agensi untuk memberikan nasihat dan meningkatkan kemampuan mereka secara keseluruhan. Setiap agensi dapat memiliki maksimal 30 murid. \n\n[b][size=20][color=#F2D896]Bencana:[/size][/color][/b]\nWaktu berlalu dan segala sesuatunya tidak dapat diprediksi. Bencana terjadi secara berkala di berbagai lembaga dan memerlukan persediaan bantuan yang berbeda-beda. Jika dibiarkan, masyarakat tidak akan bisa bertahan. Bergabunglah dengan sekte lain untuk membantu manusia mengatasi bencana atau mengobarkan api. \n\n[b][size=20][color=#F2D896]Keajaiban:[/size][/color][/b]\nAula utama dibangun ke tingkat lanjutan, kemudian keajaiban fana dapat dibangun di lokasi ini. Pengaruh keajaiban fana sangat kuat, namun hanya satu yang dapat dibangun di suatu lembaga, dan keajaiban yang dapat dibangun di lokasi berbeda berbeda-beda. \n\n[b][size=20][color=#F2D896]Koleksi:[/size][/color][/b]\nIngin menjadi satu-satunya agen di sebuah agensi? Anda harus menjalani ujian kematian yang panjang. Setelah Anda memiliki aula utama senior, Anda dapat mengadopsi kebijakan penggabungan, di mana akan ada rangkaian acara, dan Anda harus memilih cara yang bermanfaat. Jika terjadi kesalahan di tengah proses, semua pekerjaan sebelumnya akan hilang. Jika berhasil, hal ini akan menyentuh hati dan pikiran masyarakat dan agen-agen lainnya akan mundur secara berbondong-bondong.	Sect Expansion
9	[b][align=center][color=#ffe5a1][size=22]Konten Baru: Interaksi sekte[/size][/color][/align][/b][b][size=20][color=#F2D896]Buka Eksplorasi Dunia:[/size][/color][/b]\nSebagian besar wilayah di seluruh dunia kini dapat diakses untuk dijelajahi, dengan harta karun tersembunyi dan risiko yang mengintai menunggu untuk dieksplorasi oleh para pembudidaya. \n\n[b][size=20][color=#F2D896]Membuka Penaklukan Dunia:[/size][/color][/b]\nSemua sekte memiliki gerbang gunungnya sendiri. Harta karun yang tak terhitung jumlahnya, diagram formasi kuno, harta rahasia yang hilang, dan arsitektur yang indah semuanya ada di sini. \nTapi hati-hati, setiap sekte memiliki akumulasi ribuan tahun di sekte masing-masing, dan ada juga kekuatan besar yang akan membentuk melawan musuh dan menjaga sekte mereka. \nMembobol gerbang gunung musuh, menghancurkan formasi pelindung gunung, dan menaklukkan mereka akan menjadi tantangan yang belum pernah terjadi sebelumnya. \n\n[b][size=20][color=#F2D896]Perdagangan Sekte:[/size][/color][/b]\nSekarang sekte-sekte besar telah membuka harta mereka sendiri untuk dijual kepada umum. Bertemanlah dengan mereka untuk mendapatkan akses membeli lebih banyak material berharga dan bahkan menyewa ahli mereka untuk membantu melawan musuh. \nHarta karun tertinggi dalam perdagangan sekte itu sangat berharga dan tidak mudah dijual oleh pendatang yang tidak peduli. \n\n[b][size=20][color=#F2D896]nikmat:[/size][/color][/b]\nTidak semua item dapat diperdagangkan langsung menggunakan batu roh. Jika suatu sekte berhutang koneksi kepada kita, ini dapat digunakan sebagai alasan untuk memperdagangkan harta karun terbaik. Anda bisa mendapatkan koneksi dengan memberikan item pilihan Anda atau dengan membantu mereka menyelesaikan tugas. \n\n[b][size=20][color=#F2D896]Misi:[/size][/color][/b]\nSelama perkembangan atau gesekan suatu sekte, berbagai peristiwa akan terjadi dan misi akan dikeluarkan ke dunia sesuai dengan kebutuhan masing-masing sekte itu sendiri. Jika Anda memenuhi kebutuhan mereka, Anda akan mendapatkan bantuan dan koneksi. \Lebih dari 40 jenis misi baru telah ditambahkan. \n\n[b][size=20][color=#F2D896]Master:[/size][/color][/b]\nSetiap sekte memiliki master. Ada beberapa hal yang ada dalam pikiran sang master, dan jika seseorang dapat memberikan apa yang dia suka, dia pasti akan mendapatkan koneksi. \n\n[b][size=20][color=#F2D896]Akses:[/size][/color][/b]\nDepartemen telah menetapkan izin untuk yurisdiksinya sendiri dan harus mendapatkan izin untuk masuk dan keluar dengan bebas. Kegagalan untuk melakukannya akan mengakibatkan serangan dan pengusiran. \n\n[b][size=20][color=#F2D896]Menyewa artefak harta karun: [/size][/color][/b]\nSekte menawarkan layanan penyewaan artefak harta karun, yang bervariasi dari satu sekte ke sekte lainnya dan masing-masing memiliki efek khusus, jadi silakan ambil apa yang Anda butuhkan. Anda hanya dapat meminjam satu harta ajaib dalam satu waktu, dan jika rusak selama masa sewa, Anda akan kehilangan bantuan dan koneksi. \n\n[b][size=20][color=#F2D896]Bantuan:[/size][/color][/b]\nPada saat krisis, Anda dapat mencari bantuan dari sekte yang ramah agar murid-muridnya ditempatkan selama jangka waktu tertentu. Namun, jika penolong meninggal secara tidak sengaja, dia akan kehilangan bantuan dan koneksi.	Sect Interactions
