ID	Name	Place	Once	Story	Auto	Begin	Duration	Interval	Desc	EndDesc	Hide	Flag	MsgShowType	NeedEnter	FromDLC	AffixConditions
	nama	Lokasi yang sesuai Banyak penggunaan|memisahkan Didapat secara acak	Hanya memicu sekali	cerita yang sesuai	Pemicu otomatis	waktu mulai langit	lamanya langit	selang Hitung dari pemicu	menggambarkan	deskripsi akhir	Pemicu tersembunyi Standarnya adalah0	Gunakan dalam keadaan khusus	Jenis Pesan Seni Bela Diri			Persyaratan untuk entri,Banyak penggunaan|divisi
1	Senjata ajaib digali	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_FabaoAppear1	0		3		[TXT]Baru-baru ini, cahaya berharga muncul di malam hari，Saya mendengar bahwa senjata ajaib yang hilang telah ditemukan。	[TXT]Senjata ajaib telah diambil。			s_fabao			
2	Senjata ajaib digali	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_FabaoAppear2	0		3		[TXT]Setiap hari, ada cahaya yang memancar langsung ke langit，Saya mendengar bahwa senjata ajaib yang berharga akan segera digali。	[TXT]Senjata ajaib telah diambil。			s_fabao			
3	Senjata ajaib digali	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_FabaoAppear3	0		3		[TXT]Badai baru-baru ini telah terjadi，Perubahan di langit dan bumi，Saya mendengar bahwa harta karun kuno akan segera digali。	[TXT]Senjata ajaib telah diambil。			s_fabao			
4	Senjata ajaib digali	Place_Snowfield|Place_Snowfield3|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_FabaoAppear3_Cold	0		3		[TXT]Badai baru-baru ini telah terjadi，Perubahan di langit dan bumi，Saya mendengar bahwa harta karun kuno akan segera digali。Dikatakan terpengaruh oleh segel，Dikelilingi oleh cuaca dingin yang parah（[temperature]-150[/temperature]），tidak dapat diakses。	[TXT]Senjata ajaib telah diambil。			s_fabao			
5	Senjata ajaib digali	Place_Desert|Place_Desert2|Place_Desert4|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_FabaoAppear3_Hot	0		3		[TXT]Badai baru-baru ini telah terjadi，Perubahan di langit dan bumi，Saya mendengar bahwa harta karun kuno akan segera digali。Dikatakan terpengaruh oleh segel，Segalanya berubah menjadi api neraka（[temperature]500[/temperature]），tidak dapat diakses。	[TXT]Senjata ajaib telah diambil。			s_fabao			
6	Gua itu muncul	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_DongFuAppear	0		3		mendengar[TXT]Sebuah gua tempat makhluk abadi tak dikenal dari zaman kuno muncul di dunia。	[TXT]Gua Abadi telah muncul，Harta rahasia di antara mereka dibagi di antara para praktisi yang mengaguminya.。			s_dongfu			
7	Gua itu muncul	Place_Snowfield|Place_Snowfield3|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_DongFuAppear_Cold	0		3		mendengar[TXT]Sebuah gua tempat makhluk abadi tak dikenal dari zaman kuno muncul di dunia。Gua itu dijaga oleh hukum terlarang，Itu diselimuti cuaca dingin yang parah（[temperature]-150[/temperature]），Mereka yang tidak mampu melawan akan mati jika masuk.。	[TXT]Gua Abadi telah muncul，Harta rahasia di antara mereka dibagi di antara para praktisi yang mengaguminya.。			s_dongfu			
8	Gua itu muncul	Place_Desert|Place_Desert2|Place_Desert4|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_DongFuAppear_Hot	0		3		mendengar[TXT]Sebuah gua tempat makhluk abadi tak dikenal dari zaman kuno muncul di dunia。Gua itu dijaga oleh hukum terlarang，Ada api nyata di sekujurnya（[temperature]500[/temperature]），Mereka yang tidak mampu melawan akan mati jika masuk.。	[TXT]Gua Abadi telah muncul，Harta rahasia di antara mereka dibagi di antara para praktisi yang mengaguminya.。			s_dongfu			
9	Gua itu muncul	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_DongFuAppear_Manual	0		3		mendengar[TXT]Sebuah gua tempat makhluk abadi tak dikenal dari zaman kuno muncul di dunia。Pemilik gua adalah ahli pemurnian senjata，Diantaranya, seni memurnikan senjata digunakan untuk menetapkan hukum terlarang yang tak terhitung jumlahnya.，Jika tidak ada cara untuk menyempurnakan perangkat，Sulit untuk bergerak bahkan satu inci pun。	[TXT]Gua Abadi telah muncul，Harta rahasia di antara mereka dibagi di antara para praktisi yang mengaguminya.。			s_dongfu			
