ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
ID	种族	阶段 0童年 1成年 2重大事件 	性别 0均可 1男 2女	名字	描述	在自定义中隐藏	触发开始年份	感知	体质	魅力	悟性	运气	战斗	气感	社交 （所有技能等级后面可以附加,X。X为热爱程度 1为热爱 2为痴迷）	医术	厨艺	建筑	农事	采掘	艺术	制造	斗法	丹器	御物	术法	护体	特性1	特性2	特性3	特性4	特性5	特性6
-1	Human			latar belakang misterius	[NAME]cerita telah hilang，tidak ada yang tahu apa-apa。(Modul hilang)	1	-1																										
1	Human	0	0	Siswa sekolah swasta	[NAME]menerima pendidikan budaya yang lengkap di masa kanak-kanak。Pengalaman belajar di sekolah swasta membuat[IT]Banyak ilmu yang didapat，juga membiarkan[IT]Penuh suasana elegan dan ilmiah。		0			2	1				1			2	2			2						Reader					
2	Human	0	0	Raja Anak-Anak	[NAME]Lahir di desa pegunungan kecil，Saya telah nakal sejak saya masih kecil.，dan kepemimpinan。[IT]Sering mengajak sekelompok anak bermain di pegunungan dan ladang，Berkelahi dengan anak-anak dari desa tetangga。		0	1	1	1			2															Affinity					
3	Human	0	0	Kedua orang tuanya meninggal	[NAME]Kehilangan orang tua sejak kecil，Berkeliaran untuk mencari nafkah。kehidupan yang sulit memberi[IT]Fisik dan refleks melebihi teman-temannya。		0	3	1	-1		-1	2			1				1								BanParents					
4	Human	0	0	anak-anak amnesia	[NAME]Semua kenangan masa kecilku kosong，kapan pun[IT]cobalah untuk mengingat，akan terganggu oleh sakit kepala yang parah。untuk mengeksplorasi kebenaran，[NAME]Saya menghabiskan banyak waktu mempelajari sastra dan legenda，Meski alasannya belum ditemukan，Tapi pengetahuan ini setidaknya memungkinkan[IT]Miliki sumber daya percakapan yang kaya。		0			2	1			2	2	2												BanParents					
5	Human	0	1	Tuan Muda	[NAME]Dia adalah putra tertua dari keluarga kaya，Menikmati masa kecil yang mewah。[IT]Jangan pernah melakukan pekerjaan kasar，Mendapat pendidikan yang sangat lengkap dan komprehensif。		0	1	1	1					3	2					2	2						NoHeavyWork	BanParents	HealthMaintain1			
6	Human	0	2	Merindukan	[NAME]Dia adalah putri tertua dari keluarga kaya，Menikmati masa kecil yang mewah。[IT]Jangan pernah melakukan pekerjaan kasar，Mendapat pendidikan yang sangat lengkap dan komprehensif。		0	1	1	1					3	2					2	2						NoHeavyWork	BanParents	HealthMaintain1			
7	Human	0	0	Latar belakang keluarga ilmiah	[NAME]Lahir di keluarga terpelajar，Dipengaruhi oleh budaya sejak kecil。Namun bertahun-tahun menari dan menulis juga telah menjadikan saya[NAME]kurang berolahraga，Tubuhnya relatif kurus。		0		-1	-1	1		-2								3							Reader		HealthMaintain1			
8	Human	0	0	keluarga Wulin	[NAME]Lahir dalam keluarga seni bela diri，Mendapat pelatihan ketat sejak kecil。di bawah pengaruh telinga dan mata，Pemahaman tentang pertempuran sangat mendalam。		0	1	2				4,2			2												Warrior	Masculinity				
