ID	Title	Hobby
1	Regret	[NAME] secara tidak sengaja membunuh seorang teman baik secara tidak sengaja dalam kompetisi persahabatan, yang membuat [IT] merasa sangat menyesal dari waktu ke waktu.
2	Regret	[NAME] pernah dihadang oleh musuh saat berkencan dengan orang yang dicintai. Selama pertarungan, orang yang dicintainya mati di tangan musuh, yang telah meninggalkan luka yang tidak dapat disembuhkan di hati [NAME].
3	Regret	Selama pertarungan sihir, [NAME] terkena mantra ilusi oleh musuh dan akhirnya membunuh banyak murid sekte yang sama. Hal ini sempat menjadi mimpi buruk yang akan terus menghantui [NAME] dan tidak akan pernah hilang.
4	Regret	Dibutakan oleh keserakahan karena menemukan [LIKEITEM] favorit selama petualangan, [NAME] menyerang dan melukai seorang teman dengan parah, kehilangan persahabatan mereka selamanya. [NAME] sangat menyesal setelah kejadian itu, sayang sekali apa yang sudah terjadi tidak bisa diubah.
5	Regret	[NAME] dulu sangat menyukai [HATEITEM]. Namun selama penjelajahan di Immortal Abode, [NAME] secara tidak sengaja jatuh ke dalam perangkap karena tamak terhadap [HATEITEM], dan kehilangan seorang teman baik yang meninggal saat mencoba menyelamatkan [IT]. Ini telah menjadi penyesalan permanen bagi [NAME].
6	Regret	[NAME] dulu sangat menyukai [HATEITEM]. Namun selama pertarungan sihir, orang yang dicintai [NAME] akhirnya terbunuh oleh musuh karena terganggu oleh [HATEITEM]. [NAME] telah menyesali ini seumur hidupnya.
7	Anxiety	[NAME] melewatkan peluang penting Pembentukan Inti karena [LIKEITEM], yang merupakan kemunduran serius dalam kultivasi. Hal ini menjadi bahan olok-olok di kalangan sesama kultivator di sekte tersebut, serta menjadi luka terbuka di hati [NAME].
8	Anxiety	[NAME] digunakan untuk berkultivasi di sekte yang lebih kecil. Suatu kali di sebuah pesta, [NAME] berulang kali diejek oleh sesama kultivator di sekte dengan [HATEITEM] yang paling dibenci pria itu. Tidak tahan lagi, [NAME] membentak dan mengamuk, membunuh mereka semua dan membelot dari sekte itu. [NAME] mengembara dan bersembunyi dalam waktu yang lama sebelum akhirnya bergabung dengan sekte saat ini. Pengalaman traumatis ini tetap menjadi bayangan seumur hidup di hati [NAME] yang tidak dapat didamaikan.
9	Anxiety	[NAME] pernah jatuh cinta dengan sesama kultivator. Namun pada hari ulang tahun orang itu, [NAME] membela orang tersebut demi favoritnya [LIKEITEM], sehingga kehilangan hubungan ini. Ini telah menjadi luka di hati [NAME] selamanya.
10	Anxiety	[NAME] sangat bangga dengan koleksi berbagai [LIKEITEM] mereka, tetapi dua rekan kultivator di sekte tersebut selalu mencemooh hal ini. Tidak tahan lagi, [NAME] memancing keduanya menjauh dari yang lain dan membunuh mereka. Ini juga menjadi topik yang tabu di hati [NAME].
11	Anxiety	[NAME] dulunya sangat menyukai [HATEITEM], namun selalu diejek dan ditertawakan oleh rekan-rekan muridnya, yang berkata bahwa orang dengan kemampuan [NAME] yang mendambakan hal-hal mewah seperti katak yang menginginkan daging angsa. Tak tahan lagi, [NAME] akhirnya membelot dari sekte itu. Ini juga menjadi topik yang tabu di hati [NAME].
12	Anxiety	[NAME] pernah jatuh cinta dengan sesama kultivator. Namun orang tersebut membuang [IT] dengan tegas setelah mengetahui bahwa [NAME] menyukai [LIKEITEM]. [NAME] sangat bingung dengan hal ini, dan itu telah menjadi luka di hati [NAME] selamanya.
13	Obsession	[NAME] sangat terobsesi dengan nilai hubungan dengan saudara sedarah keluarga. Meskipun tidak satupun dari mereka berada di dunia kultivator, [IT] diam-diam menjaga mereka untuk memastikan kedamaian dan kebahagiaan dalam hidup. Keluarga adalah obsesi dalam pikiran [NAME].
14	Obsession	[NAME] sangat terobsesi dengan [LIKEITEM]. [IT] mengumpulkan banyak [LIKEITEM] sepanjang hidup, dan menganggapnya sebagai harta yang tak ternilai. Harta karun ini adalah obsesi dalam pikiran [NAME].
15	Obsession	[NAME] sangat terobsesi dengan sekte ini. Dari sudut pandang [NAME], sekte selalu didahulukan dan di atas segalanya. Sekte adalah obsesi terbesar dalam pikiran [NAME].
16	Obsession	[NAME] sangat terobsesi dengan murid-murid generasi muda yang luar biasa. Dari sudut pandang [IT], anak laki-laki dan perempuan berbakat adalah harapan nyata masa depan sekolah mana pun. Murid-murid muda yang berprestasi menjadi obsesi terbesar dalam pikiran [NAME].
17	Obsession	[NAME] sangat terobsesi untuk menjaga tubuh tetap muda. Dari sudut pandang [IT], inti dari kultivasi adalah untuk mencapai umur panjang dan awet muda. Inilah obsesi terbesar di hati [NAME].
18	Obsession	[NAME] sangat terobsesi dengan penampilan sendiri, yang, dari sudut pandang [NAME], adalah yang paling menarik di dunia. Inilah obsesi terbesar di hati [NAME].
10001	Obsession	[NAME]Saya ingin menggunakan kekuatan supernatural saya yang luar biasa untuk membuka dunia seni bela diri nyata yang belum pernah terjadi sebelumnya. Dalam imajinasinya, semua makhluk hidup di dunia ini memiliki kehidupannya masing-masing, segala sesuatu memiliki hukumnya sendiri, para ksatria mengabdi pada dunia demi kebaikan bersama, dan para pengembara berkeliaran dengan bebas... [NAME] Dia hampir mencapai kebenaran, tetapi untuk mencapai tujuannya dengan lebih sempurna, dia tidak ragu-ragu untuk memulai jalan penemuan kembali. Dalam proses pembangunan kembali, [NAME] menghadapi berbagai keraguan, dan mengalami banyak bencana seperti setan dari luar yang mencuri hukum. Namun meski kini ia telah dibangun kembali dan diubah menjadi tubuh fana, ambisinya tidak pernah berkurang, keyakinannya abadi, dan tubuhnya tak terkalahkan!
