Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	Laporkan Bug	无成功失败/中性回答	Kesuksesan!	Gagal	数值参数	文本参数
S_Carry_Discuss	0	Izinkan saya memberi tahu Anda, [TNAME] memiliki [TXT] pada mereka.	Saya tidak tertarik dengan hal itu.	Suatu kebetulan. Aku juga mengetahuinya!	Ah masa? Anda bahkan tahu tentang itu?		
S_Carry_Ask	0	Tahukah kamu? [TNAME] ada pada mereka?	Bagaimana saya tahu?	Ya saya tahu. [TIT] selalu mengambil a [TXT] .	Aku tidak ingin memberitahumu.		
S_Esoterica_Discuss	0	Tahukah kamu? [TNAME] sangat pandai [TXT] !	Saya tidak tertarik dengan hal itu.	Suatu kebetulan. Aku juga mengetahuinya!	Ah masa? Anda bahkan tahu tentang itu?		
S_Esoterica_Ask	0	Tahukah kamu? [TNAME] apakah pandai?	Bagaimana saya tahu?	Ya saya tahu. [TIT] pandai [TXT] .	Aku tidak ingin memberitahumu.		
S_Feature_Discuss	0	Izinkan saya memberi tahu Anda, [TNAME] adalah a [TXT] orang.	Saya tidak tertarik dengan hal itu.	Suatu kebetulan. Aku juga mengetahuinya!	Ah masa? Anda bahkan tahu tentang itu?		
S_Feature_Ask	0	Tahukah kamu orang seperti apa [TNAME] adalah?	Bagaimana saya tahu?	Ya saya tahu [TITS] . [TIT] adalah a [TXT] orang.	Aku tidak ingin memberitahumu.		
S_HateItem_Discuss	0	Izinkan saya memberi tahu Anda, [TNAME] tidak suka [TXT] .	Saya tidak tertarik dengan hal itu.	Suatu kebetulan. Aku juga mengetahuinya!	Ah masa? Anda bahkan tahu tentang itu?		
S_HateItem_Ask	0	Tahukah kamu? [TNAME] tidak suka?	Bagaimana saya tahu?	Ya saya tahu. [TIT] benci [TXT] . Bahkan tidak bisa melihatnya tanpa menjadi gila.	Aku tidak ingin memberitahumu.		
S_Hobby_Discuss	0	Izinkan saya memberi tahu Anda, [TNAME] memiliki [TXT] . Seperti ini...	Saya tidak tertarik dengan hal itu.	Suatu kebetulan. Aku juga mengetahuinya!	Ah masa? Anda bahkan tahu tentang itu?		
