Key	Value
看天花板	Melihat Langit-Langit
神修在心境为“灵”时，心境已然圆满，将持续上升，不收任何外部条件影响。	Ketika kondisi mental 'spiritual', maka akan terpenuhi dan ditingkatkan dengan kecepatan yang stabil, tidak terpengaruh oleh faktor luar.
秘籍内容:\n	Isi Panduan:\n
营养	Tidak.
拍照模式。	Kamera.
门派弟子数量达到上限:{0}。\n你可以扩大门派规模或者将其他弟子踢出门派。	Jumlah murid telah mencapai batas:{0}.\nAnda dapat meningkatkan ukuran sekte Anda atau menendang murid lain.
{0}的{1}	{0}'S{1}
当前仍有未保存的阵图，是否保存	Rencananya belum disimpan. Apakah Anda ingin menyimpannya?
当前未保存的进度将会丢失，确定要读取存档{0}吗？	Anda akan kehilangan semua kemajuan yang belum disimpan. Apakah Anda yakin ingin memuat permainan yang disimpan{0}?
{0}阶-{1}阶	Tingkat{0}-{1}
一本神秘秘籍	Panduan misterius
获取存档信息失败！请检查存档文件是否正常，或者另存为新存档！	Gagal menyimpan pemuatan! Silakan periksa file simpanan Anda atau simpan sebagai yang baru.
\n分类:{0}	\nKategori:{0}
秘宝认主	Klaim Artefak Warisan
[color=#880000](游戏版本过低:{0})[/color]	[color=#880000](Versi game terlalu lama:{0})[/color]
筑基值：{0}\n	Dasar:{0}\n
女	Perempuan
随机鲜花	Acak Bunga
粮食储备	Penyimpanan Makanan
已经有重复的标签。	Label duplikat
{2}\n灵气值：{0:N0}/{1:N0}\n法宝在空闲时，或灵气耗完后会从角色身上吸取灵气。	{2}\nQi: {0:N0}/{1:N0}\nSaat artefak dalam keadaan idle atau telah menghabiskan Qi-nya, artefak tersebut akan menyerap Qi dari karakter.
昵称中无法包含字母、数字或者英文符号，请重试	Nama panggilan tidak boleh berisi huruf, angka, atau simbol bahasa Inggris. Silakan coba lagi.
{0}天	{0}D
已激活所有扩展内容!\n谢谢大爷!	Semua konten DLC telah diaktifkan. Terima kasih tuan!
湖仙钓者	Penangkap Peri Danau
被夺舍	Menjadi Dimiliki
点击执行发布装备命令。	Tekan tombol untuk mengirim perintah perlengkapan.
采集或者历练	Berkumpul atau berpetualang
\n季节不适	\nMusim yang Tidak Cocok
将一个镇物鉴定	Identifikasi Relik.
赠送以完成任务	Kirim hadiah untuk menyelesaikan tugas
洞天	Tempat Tinggal Surgawi
在移除工作之时，正感觉有点无聊	Menghapus sesuatu; terasa sedikit bosan
万界天宫	Istana Alam
神名	Gelar Ilahi
变身成人形态	Berubah wujud menjadi wujud manusia
没有空闲中的工作台	Tidak ada stasiun Kerja yang tersedia
成功率:{0} 灵气:{1} 心境:{2}	Tingkat Keberhasilan:{0}Qi:{1}Keadaan Mental:{2}
友好	Teman
移除	Menghapus
{0}阶	Tingkat{0}
提示	Tip
收养	Mengambil
观察	Mengamati
昏迷	Tidak sadar
关闭	Menutup
影响角色灵气抵挡伤害的能力。	(Perlindungan) Mempengaruhi kemampuan karakter untuk mempertahankan diri dari kerusakan menggunakan Qi.
取消放置	Batalkan Penempatan
修行	Praktik
聆听	Mendengarkan
（需要激活{0}才能挑战）	(Tersedia setelahnya{0}diaktifkan)
其他	Lain-lain
正无所事事的消磨着时光	Bermain-main untuk menghabiskan waktu
无上大法	Hukum Tertinggi
收藏	Koleksi
请确认建造！	Harap konfirmasi bangunan!
循环十次	Ulangi 10x
犹豫不决	Ragu-ragu
庙	Kuil
defName=>{0} {1}_effect.sParam2 配置为空,应该配置物品名字！	namadef=>{0} {1}_effect.sParam2 kosong, harus mengkonfigurasi nama item!
受到天道异动的影响，无法禁足通灵物!	Karena gangguan pada Dao Surgawi, mustahil untuk Membekukan makhluk spiritual!
{1}\n读取中...{0}	{1}\nMemuat...{0}
拆除	Menghancurkan
点击打开角色健康面板	Klik untuk membuka menu Kesehatan.
在布施类事件中可收获影响值，在其他事件中也会有作用。	Mendapatkan pengaruh selama acara amal. Juga efektif di acara lainnya.
隋	Sui
消耗25点香火值，赐予神国期及修行者一名护法。	Dibutuhkan 25 keyakinan untuk memberikan penjaga ke Alam Ilahi dan penggarap.
角色受上天眷顾的程度，影响角色概率相关的属性。	Keberuntungan (LUK): Sejauh mana suatu karakter disukai oleh Surga. Mempengaruhi statistik yang terkait dengan peluang.
从井里打水。	Ambil air dari sumur.
最后一轮竞拍	Babak Terakhir!
晋升内门	Mendorong
拆迁建筑时连续失误，差点弄伤自己，正感觉有点生气	Terus melakukan kesalahan saat menghancurkan bangunan dan hampir terluka; merasa marah karenanya
凡俗之法	Hukum Duniawi
修炼	Penanaman
弟子遵命！	Ya, Guru!
{0}正在发挥药效	{0}Obat mulai berlaku
刚结束今天的筑基功课	Baru saja menyelesaikan pelatihan dasar hari ini
人心叵测	Tidak percaya
初始化游戏数据失败，游戏将不能正常运行。请检查数据完整性和确认模组数据正确。\n依然要进入吗？	Gagal menginisialisasi data game. Permainan tidak akan bisa berjalan dengan baik. Harap verifikasi integritas file game dan pastikan data mod Anda benar.\nApakah Anda masih ingin melanjutkan?
冲煞之所	Tidak menyenangkan
击退强度 : {0:P0}	Kekuatan Knockback: {0:P0}
走路	Sedang berjalan
打开存档:{0}结果为:{1}	Membuka Simpan File:{0}Hasil:{1}
照顾	Penjaga
精元	Daya tahan
[color=#ff0000]拖动框选范围[/color]	[color=#ff0000]Seret area yang dipilih[/color]
游戏有版本更新{0}	Versi baru tersedia{0}
购买（{0}元）	Pembelian ({0})
攻击	Menyerang
灵宠会优先食用低优先级的食物	Hewan peliharaan akan memakan makanan dengan Prioritas rendah terlebih dahulu.
男	Pria
金属	Logam
烹饪	Memasak
请先选择目标!	Silakan pilih target terlebih dahulu!
{0}{1:F0}  {2}等级(提高上限)\n	{0}{1:F0}{2}Level (Peningkatan Batas)
正心不在焉的制药作业中	Membuat obat dengan linglung
任意元神期的修行者都可以将某些内门特质通过元神寄托赋予装备。	Kultivator mana pun yang memiliki Roh Primordial dapat melampirkan aspek tertentu dari sifat kultivasi ke peralatan mereka melalui Roh.
内丹灵气容量:	Kapasitas Inti Qi Internal:
撰写内容	Tulis Konten
五行：相同\n	Lima Elemen: Setara\n
可以预见，你对此人的劝化如[color=#ffa900]当头棒喝[/color]，直入其内心深处	Persuasi Anda akan terjadi[color=#ffa900]panggilan bangun[/color]kepada orang ini, beresonansi dengan mereka.
正在专心的照顾他人	Berkonsentrasi pada merawat seseorang
[简介]\r\n	[Intro]\r\n
历练故事	Kisah Petualangan
耗时：{0:N2}天	Luangkan waktu: {0:N2} hari
一个区域	Satu Daerah
(等待安装)	(Memasang)
\n寿元：{0:N0}({1:N0})	\nUmur: {0:N0} ({1:N0})
{0}营养：{1:N0}\n营养上限：100\n营养越高，对应的属性成长越快，消耗也越多，通过不同的饮食习惯来影响当前营养。	{0}Nutrisi: {1:N0}\nBatas nutrisi: 100\nSemakin tinggi nutrisinya, semakin cepat statistik terkait tumbuh dan semakin banyak konsumsinya. Anda dapat memengaruhi nutrisi saat ini dengan kebiasaan makan yang berbeda.
系统回调	Panggilan Balik Sistem
弥留({0:N0}秒)	Sekarat ({0:N0} detik)
在修理建筑之时，正感觉有点无聊	Memperbaiki bangunan; terasa sedikit bosan
敲响警钟,外门弟子会聚集到周围。	Bunyikan bel, dan murid luar akan berkumpul.
[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物	[color=#9e6404]Pekerjaan terkait:[/color]\nMemotong kayu bakar\nMembawa kayu bakar\nMenebang pohon\nMemanen tanaman
确定删除以下背景故事吗？\n\n{0}	Apakah Anda ingin menghapus latar belakang berikut?\n\n{0}
拥有者:{0}	Pemilik:{0}
祠	Panteon
是否确定凝取灵石，这将触发一场战斗。	Yakin Mengumpulkan Batu Roh? Hal ini akan memicu perkelahian.
拉屎	Mengeluarkan
<font color=#FF0000>(生食)</font>\n	<font color=#FF0000>(Mentah)</font>\n
确定要删除存档{0}吗？这将不可逆转。	Apakah Anda yakin ingin menghapus{0}? Penghapusan tidak dapat diubah.
{0}: {1:F2}/秒\n	{0}: {1:F2}/dtk\n
前往:目标点	Kunjungi: Area Sasaran
请选择一个可以灵淬的物品	Pilih item untuk pemurnian spiritual.
{0}心防无法瓦解(冷漠)	{0}tidak akan terbuka (ditarik).
{0}之镇派法宝，乃是前代派中高人的贴身法器。但自从百年前便被封印，再无人启用，似乎在等待着什么。	{0}pusaka yang paling berharga. Itu adalah senjata dari tuan terhebat mereka, tapi senjata itu disegel ratusan tahun yang lalu dan tidak digunakan selama beberapa generasi. Sepertinya sedang menunggu sesuatu, atau seseorang.
刷新设置	Segarkan Pengaturan
新建选项节点	Buat Opsi Baru
影响角色施展咒法的能力。	Mempengaruhi kemampuan karakter dalam merapal mantra.
特效数据	Data Efek Khusus
<font color=#D06508>[通灵]</font>\n	<color font=#D06508>[Illuminate]</font>\n
无法选择该物品	Tidak dapat memilih item ini.
时年 {0:N0}岁	Usia {0:N0} tahun.
[打开]\n防御及保护，开启后会自动反击发起攻击的敌人	[On]\nPertahanan dan perlindungan. Jika aktif maka akan membela musuh secara otomatis.
入库	Toko
请选择一具死去的身体	Pilih mayat.
<font color=#D06508>[药物]</font>\n	<color font=#D06508>[Medicine]</font>\n
可生效{0}次	{0}\nKali
参悟经验：{0}\n	XP Inspirasi:{0}\n
编队	Antre
灵气:{0:N0}/{1:N0}	Qi: {0:N0}/{1:N0}
修行时杂念频起，正感觉有点生气	Terganggu oleh pikiran acak saat bermeditasi; merasa marah karenanya
屋顶	Atap
由修行者夺舍而来，只要积累足够精元就可以开启灵智\n精元容量：{0:F0}/{1:F0} ({2:F0}%)	Yang dimiliki oleh seorang kultivator, dapat dibangkitkan kecerdasannya selama Stamina yang terkumpul cukup.\nKapasitas stamina: {0:F0}/{1:F0} ({2:F0}%)
六壬神算	Pandangan ke Depan Astrologi
在拆地板之时，正觉得很爽快	Menghapus lantai; terasa luar biasa
消耗49点香火值，祖师分身下凡讲道，持续一天。(内门弟子会在选择周围的蒲团或者空地听讲)	Harganya 49 Dupa. Sang master akan turun ke bumi untuk memberikan ceramah selama satu hari. Murid batin akan menghadiri ceramah sambil berdiri atau duduk di bantal terdekat.
无	Tidak ada
激活中	Mengaktifkan
蓝图	cetak biru
角色当前灵力不足以驱动此术！	Karakter tidak memiliki cukup Qi untuk melakukan ini!
药物	Obat
自制建筑蓝图	Buat cetak biru Anda sendiri
{0}丢失了	{0}hilang.
它的	Dia
任务	Tugas
区域数据	Data Wilayah
【新线索·{0}】	[New Clue {0}]
术法	Mengeja
请选择秘籍	Silakan pilih manual.
蕴养这株灵植，调整灵植的养成趋势，并借此收获一些珍稀材料。	Peliharalah tanaman spiritual ini dan atur pertumbuhannya untuk mendapatkan material langka.
生长度:{0:P0} 成熟度:{1:P0}	Pertumbuhan: {0:P0}, Kedewasaan:{1:P0}
