Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	Laporan	无成功失败/中性回答	Kesuksesan!	Gagal!	Parameter numerik (SECRET adalah ID peristiwa)	文本参数
Chat_Place_Snowfield2	0	Ada ikan spesial di sini?	Konon di Danau Jadestone terdapat sejenis ikan berukuran besar yang hanya muncul saat musim dingin.				
Chat_Place_Snowfield3	0	Ada ikan spesial di sini?	Konon di Danau Jadestone terdapat sejenis ikan berukuran besar yang hanya muncul saat musim dingin.				
Chat_Place_Snowfield1	0	Ada ikan spesial di sini?	Ada sejenis ikan dengan sirip merah di dekatnya yang hanya muncul saat musim dingin.				
Chat_Place_Snowfield2	0	Ada ikan spesial di sini?	Ada sejenis ikan dengan sirip merah di dekatnya yang hanya muncul saat musim dingin.				
Chat_Place_Snowfield3	0	Ada ikan spesial di sini?	Ada sejenis ikan dengan sirip merah di dekatnya yang hanya muncul saat musim dingin.				
Chat_Place_BirthPlace11	0	Ada ikan spesial di sini?	Dikatakan bahwa sejenis ikan berwarna merah dan biru akan muncul pada malam kutub.				
Chat_Place_BirthPlace12	0	Ada ikan spesial di sini?	Dikatakan bahwa sejenis ikan berwarna merah dan biru akan muncul pada malam kutub.				
Chat_Place_BirthPlace13	0	Ada ikan spesial di sini?	Dikatakan bahwa sejenis ikan berwarna merah dan biru akan muncul pada malam kutub.				
Chat_Place_BirthPlace14	0	Ada ikan spesial di sini?	Dikatakan bahwa sejenis ikan berwarna merah dan biru akan muncul pada malam kutub.				
Chat_Place_BirthPlace15	0	Ada ikan spesial di sini?	Dikatakan bahwa sejenis ikan berwarna merah dan biru akan muncul pada malam kutub.				
Chat_Place_BirthPlace16	0	Ada ikan spesial di sini?	Dikatakan bahwa sejenis ikan berwarna merah dan biru akan muncul pada malam kutub.				
Chat_Place_BirthPlace11	0	Ada ikan spesial di sini?	Ada sejenis belut rawa yang hanya muncul di Air Spiritual selama musim panas.				
Chat_Place_BirthPlace12	0	Ada ikan spesial di sini?	Ada sejenis belut rawa yang hanya muncul di Air Spiritual selama musim panas.				
Chat_Place_BirthPlace13	0	Ada ikan spesial di sini?	Ada sejenis belut rawa yang hanya muncul di Air Spiritual selama musim panas.				
Chat_Place_BirthPlace14	0	Ada ikan spesial di sini?	Ada sejenis belut rawa yang hanya muncul di Air Spiritual selama musim panas.				
Chat_Place_BirthPlace15	0	Ada ikan spesial di sini?	Ada sejenis belut rawa yang hanya muncul di Air Spiritual selama musim panas.				
Chat_Place_BirthPlace16	0	Ada ikan spesial di sini?	Ada sejenis belut rawa yang hanya muncul di Air Spiritual selama musim panas.				
Chat_Place_SouthForest1	0	Ada ikan spesial di sini?	Belut rawa dengan pola setan di sekujur tubuhnya akan muncul di dekatnya selama musim semi.				
Chat_Place_SouthForest2	0	Ada ikan spesial di sini?	Belut rawa dengan pola setan di sekujur tubuhnya akan muncul di dekatnya selama musim semi.				
Chat_Place_SouthForest3	0	Ada ikan spesial di sini?	Belut rawa dengan pola setan di sekujur tubuhnya akan muncul di dekatnya selama musim semi.				
Chat_Place_BirthPlace11	0	Ada ikan spesial di sini?	Di dekatnya terdapat sejenis ikan berwarna merah muda yang hanya muncul saat musim gugur.				
Chat_Place_BirthPlace12	0	Ada ikan spesial di sini?	Di dekatnya terdapat sejenis ikan berwarna merah muda yang hanya muncul saat musim gugur.				
Chat_Place_BirthPlace13	0	Ada ikan spesial di sini?	Di dekatnya terdapat sejenis ikan berwarna merah muda yang hanya muncul saat musim gugur.				
Chat_Place_BirthPlace14	0	Ada ikan spesial di sini?	Di dekatnya terdapat sejenis ikan berwarna merah muda yang hanya muncul saat musim gugur.				
Chat_Place_BirthPlace15	0	Ada ikan spesial di sini?	Di dekatnya terdapat sejenis ikan berwarna merah muda yang hanya muncul saat musim gugur.				
Chat_Place_BirthPlace16	0	Ada ikan spesial di sini?	Di dekatnya terdapat sejenis ikan berwarna merah muda yang hanya muncul saat musim gugur.				
Chat_Place_Hei	0	Ada ikan spesial di sini?	Ada sejenis ikan pipih khusus di dekat Gunung Blackstone yang hanya memakan makanan berelemen Logam.				
Chat_Place_Hei1	0	Ada ikan spesial di sini?	Ada sejenis ikan pipih khusus di dekat Gunung Blackstone yang hanya memakan makanan berelemen Logam.				
Chat_Place_Shu	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan yang hanya memakan sari batu giok. Mungkin digambar oleh elemen Tanah.				
Chat_Place_Shu1	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan yang hanya memakan sari batu giok. Mungkin digambar oleh elemen Tanah.				
Chat_Place_Shu2	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan yang hanya memakan sari batu giok. Mungkin digambar oleh elemen Tanah.				
Chat_Place_Shu3	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan yang hanya memakan sari batu giok. Mungkin digambar oleh elemen Tanah.				
Chat_Place_Shu4	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan yang hanya memakan sari batu giok. Mungkin digambar oleh elemen Tanah.				
Chat_Place_Shu5	0	Ada ikan spesial di sini?	Di dekatnya ada sejenis ikan yang hanya memakan sari batu giok. Mungkin digambar oleh elemen Tanah.				
