talk	notarget	int	string	float	thing
BabySleep1	Xiuxiu ingin tidur				
BabySleep2	Xiuxiu mengantuk				
BabySleep3	Xiuxiu akan tidur				
BabyPandaTalk	Xiuxiu telah membuat kemajuan lagi				
BabySilly	Xiu Xiu ingin bermain dengan makhluk abadi				
BabyFollow1	Ikuti yang abadi				
BabyFollow2	Pergi ke peri				
Roll	Keluar dari sini				
Chop	latihan				
Happy	sangat bahagia				
PlayBB	Lihat betapa hebatnya saya				
NotEat_Item_Bamboo	Saya tidak bisa makan batang bambu				Saya tidak bisa makan batang bambu
NotEat_Item_BambooShoot	Saya tidak bisa makan rebung				Saya tidak bisa makan rebung
WannaEat_Item_Bamboo	Saya sangat ingin makan batang bambu				Saya sangat ingin makan batang bambu
WannaEat_Item_BambooShoot	Saya sangat ingin makan rebung				Saya sangat ingin makan rebung
DoTalkEat_Item_Bamboo	Saya sedang makan batang bambu				Saya sedang makan batang bambu
DoTalkEat_Item_BambooShoot	Saya sedang makan rebung				Saya sedang makan rebung
CantEat_Item_Bamboo	Saya tidak punya batang bambu untuk dimakan				Saya tidak punya batang bambu untuk dimakan
CantEat_Item_BambooShoot	Saya tidak punya rebung untuk dimakan				Saya tidak punya rebung untuk dimakan
EatTogether	Makanlah bersama yang abadi
BabyHelpPlay	bermain dengan mereka				Mainkan dengan {0}
