Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc	FromDLC
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	Laporan	无成功失败/中性回答	Kesuksesan!	Gagal!	Parameter numerik (SECRET adalah ID peristiwa)	文本参数			
First	1	Siapa kamu?	"Namaku adalah [NAME] ... Salam, Tetua!"							
First	3	"Saya [NAME] , dan kamu?"	“Salam, Penatua. Saya [NAME] !"							
First	4	Saya [NAME] . Senang berkenalan dengan Anda!	"Eh, aku [NAME] !"							
First	5	“Senang bertemu denganmu. Aku [NAME] , dan bolehkah aku bertanya siapa namamu?"	Selamat datang. Saya [NAME] . Senang berkenalan dengan Anda!							
Track	0	Tahukah kamu di mana [TNAME] dari [TSCHOOL] telah pergi hari ini?	Saya tidak tertarik pada orang ini.	Menurutku dia ada di dalam [TXT] hari ini.	Kenapa aku harus memberitahumu?					
TrackTell	0	[TNAME] dari [TSCHOOL] ada di [TXT] .	Saya tidak tertarik pada orang ini.	Terima kasih atas informasinya!	Saya sudah mengetahuinya.					
TrackT	0	Apakah Anda berencana bepergian ke mana saja?	...	Saya berencana untuk berkunjung [TXT] . Ada apa?	Kenapa aku harus memberitahumu?					
TrackTellT	0	Apakah kamu akan melakukannya [TXT] ? Bepergian dengan aman.	Oh...	Terima kasih atas peringatannya. Saya akan berhati-hati!	Bagaimana kamu tahu?					
AboutNpc	0	Tahukah kamu [TNAME] dari [TSCHOOL] ?	Siapa orang ini? Aku tidak tahu.	Saya tahu sedikit tentang [TNAME] di dalam [TXT] .	Apakah kamu mengetahui sesuatu tentang [ENHIM] ?					
Gift	1	Hadiahku untukmu!	"Terima kasih, Tetua!"	"Terima kasih, Tetua!"	... (Gagap)					
Gift	3	Ini [TXT] adalah untukmu. Apakah kamu menyukainya?	Ini bagus. Terima kasih!	"Bagus sekali. Terima kasih, Tetua!"	Uh... (Mengernyit)					
Gift	4	"Kamu bisa mendapatkan ini [TXT] , Tolong!"	"Oh, lumayan."	Bagus sekali. Terima kasih!	Huh...					
Gift	5	"Kamu bisa mendapatkan ini [TXT] , Tolong!"	"Oh, lumayan."	Bagus sekali. Terima kasih!	"Ck, ck..."					
Invite	1	Apakah Anda tertarik untuk berwisata ke pegunungan megah kami?	Saya sudah menjawabnya.	Besar! Apakah ini Takdir Abadi yang terbaik?!	Saya memiliki banyak tugas yang belum selesai di dunia fana ini. Saya tidak bisa pergi.					
Invite	2	" [HENAME] , apakah kamu tertarik menjadi tamu di sekte kami?"	Saya sudah menjawabnya.	Saya memikirkan hal yang sama!	Aku terlalu sibuk akhir-akhir ini. Permisi!					
Close	1	Itu saja untuk hari ini!	"Selamat tinggal, Penatua!"							
Close	2	"Sekian untuk hari ini, kawan. Selamat tinggal!"	Sampai kita bertemu lagi!							
Secret	2	Sesuatu yang menarik akhir-akhir ini?	Saya akan memberi tahu Anda rahasia yang baru saja saya dengar.							
Interest	0	Ya? Ada apa?	saya tertarik [TNAME] dari [TSCHOOL] . Apakah kamu tahu sesuatu?							
Interest	0	Ya? Ada apa?	Pernahkah Anda mendengarnya [TSCHOOL] 'S [TNAME] ?							
Interest	0	Ya? Ada apa?	Pernahkah kamu melihat [TNAME] dari [TSCHOOL] ?							
Know	0	Ada yang baru akhir-akhir ini?	Aku tahu sesuatu tentang itu [TXT] dari [TNAME] dari [TSCHOOL] .							
Know	0	Ada yang baru akhir-akhir ini?	Saya mendengar beberapa berita tentang [TXT] dari [TNAME] dari [TSCHOOL] .							
Know	0	Ada yang baru akhir-akhir ini?	saya melihat [TNAME] dari [TSCHOOL] beberapa hari yang lalu. Tampak baik.							
Chat	0	Bagaimana kabarnya?	"Ck, ck."							
Chat	0	Terkadang saya merasa terisolasi dari segala hal di dunia dan sangat kesepian.	...Aku tidak tahu apa yang kamu bicarakan...							
Chat	0	Ada yang baru akhir-akhir ini?	Hari lain dan tidak ada yang baru. Membosankan sekali.							
Chat_Place_DanXia	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Lebih tua [color=#ff0000] Xie Si [/color] adalah pengawas Cabang Luar Negeri sekte kami, yang telah mengabdikan seluruh hidupnya untuk pertumbuhan sekte kami. Dikatakan bahwa di [desc_daytime=-20] , sekte itu akan berkembang dan mereka bahkan menjual sejumlah besar bahan langka dengan harga murah. Lebih tua [color=#ff0000] Xie Si [/color] segera menyerahkan artefak yang hampir selesai, dan bersiap mengikuti perintah pemimpin sekte, membuktikan kesetiaannya kepada sekte tersebut. Namun perluasan tersebut pada akhirnya tidak terjadi. Sayang sekali. Membuang artefak itu dengan sia-sia."					NPC_DanXia_2	NPC_DanXia_2	
Chat_Place_DanXia	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	Dikatakan bahwa ada Jalan Ruang dan Waktu di Kolam Kebajikan di Sekte kita yang memiliki kekuatan tak terbatas ketika digunakan dalam formasi... Tapi siapa yang tahu kalau itu benar...							
Chat_Place_DanXia	0	" [HENAME] , ada yang ingin dibicarakan di sektemu?"	"Beberapa hari yang lalu, saya melihat seseorang di sekte mempraktikkan" "Perisai Esensi Kayu". "Kemampuan seperti itu ketika dilepaskan benar-benar menyegarkan pikiran dan tubuh."							
