Key	Value
目标对玩家发起攻击	Target sedang menyerang
计时器，fParam1为秒数	pengatur waktu. fParam1 (detik).
进来发呆	Melamun
使用了神级技能使地图爆炸	Mengebom peta dengan keterampilan ilahi.
你们竟敢妄图驯服我的族人？看来你们已经忘记了太多教训……	Beraninya kamu mencoba menjinakkan bangsaku? Sepertinya Anda terlalu banyak melupakan aturan.
凡人？为什么会有凡人来到我的国度？	Manusia fana. Mengapa ada makhluk fana di kerajaanku?
是时候帮你们好好回忆回忆，凤凰一族的威严！	Sekarang, saatnya Anda mengingat kembali kejayaan burung phoenix kami!
你竟敢闯入这里，但你可知道，这份荣耀需要你付出生命为代价！	Anda berani menerobos masuk ke sini. Tahukah Anda bahwa kehormatan ini akan mengorbankan nyawa Anda?
地母	Ibu Bumi
不能对敌方角色使用	Tidak dapat digunakan pada karakter musuh.
参悟	Merenungkan
春	Musim semi
前往参悟	Pergi bermeditasi
请选择一个物品或者尸体	Pilih Item atau Mayat
请选择一个物品、植物、建筑、角色	Pilih item, tanaman, bangunan, karakter
移动	Bergerak
看起来无法进行参悟	Tidak dapat bermeditasi saat ini.
他们被吓跑了，奇观建设继续进行。	Mereka ketakutan, sehingga pembangunan yang menakjubkan terus berlanjut.
拍卖功能还未激活	Fungsi lelang belum diaktifkan
这一次拍卖还没开启	Lelang belum dimulai
还有赎金没交,拍卖行拒绝了你	Uang belum diserahkan, rumah lelang menolak Anda.
{0}只将少量食物分给了路人，几乎没人通过这次活动认识我们。	{0} membagikan sedikit makanan kepada orang yang lewat, namun tidak ada seorang pun yang benar-benar mengenal kami karena kegiatan ini.
{0}抓了一个路人，强行把食物送给他。那人一脸茫然，怀疑食物有毒，转了个街角就扔了。	{0} memaksa orang yang lewat untuk mengambil Makanan. Orang tersebut benar-benar bingung, mengira makanannya beracun, dan melemparkannya setelah berjalan di tikungan.
{0}像小贩一样摆了摊，吆喝道：“快来快来！我们送食物了！人人有份！”	{0} mendirikan sebuah kios dan berkata: "Ayo, ayo semua! Kami membagikan Makanan! Cukup untuk semua orang!"
收集到了一颗天道神丹，直接放回了门派。	Pil Pencerahan ditemukan. Itu segera dikirim kembali ke Sekte.
由于时间有限，没有办法将更多的食物送给别人了。	Waktu terbatas, jadi tidak ada cara untuk memberikan Makanan kepada semua orang.
{0}准备将灵石分给路人。	{0} bersiap untuk memberikan Batu Roh kepada orang yang lewat.
但没人知道这是什么。	Namun tidak ada yang tahu apa batu berkilauan itu.
{0}准备将木头分给路人。	{0} bersiap memberikan kayu kepada orang yang lewat.
