ID	Content	WholeContent	TipDesc	Desc	TipsContent

1	Cadangan makanan tidak mencukupi.	Cadangan makanan tidak mencukupi.			
2	Cadangan obat tidak mencukupi.	Cadangan obat tidak mencukupi.			
3	Cadangan stamina tidak mencukupi.	Cadangan stamina tidak mencukupi.			
4	Musim panas akan datang.	Musim panas akan datang.	Harap bersiap menghadapi cuaca panas.		
5	Musim dingin akan datang.	Musim dingin akan datang.	Harap bersiap menghadapi cuaca dingin.		
6	Musuhmu muncul.	Musuhmu muncul.			
7	{0}{1} sedang diserang.	Sekte ini sedang diserang.			
8	Ada api.	Ada api.			
9	Pejalan kaki membutuhkan bantuan.	Pejalan kaki membutuhkan bantuan.			
10	{0} sedang mencoba mengambil item {1}.	Musuh sedang mencoba mengambil suatu item.			
11	Musuh {0} mengambil item {1}.	Musuh mengambil barang itu.			
12	Binatang ajaib {0} muncul.	Binatang ajaib muncul.			
13	Harta karun yang jatuh.	Harta karun yang jatuh.			
14	Abadi {0}_tiba/berangkat.	Yang abadi telah tiba.			
15	{0} jatuh cinta pada {1}.	Perasaan cinta yang baru.			
16	{0} berhenti mencintai {1}.	Perasaan cinta memudar.			
17	{0} menyatakan perasaannya kepada {1} _dan mereka menjadi kekasih/tetapi gagal.	Seseorang menyatakan perasaannya.			
18	{0} membujuk {1} _dan berhasil/dan gagal.	Seseorang mencoba persuasi.			
19	Ditinggalkan	Ditinggalkan			
20	{0} sedang dalam suasana hati yang buruk.	Seseorang sedang dalam suasana hati yang buruk.			
21	Suasana hati {0} memburuk karena {1}.	Suasana hati seseorang memburuk.			
22	{0} tidak stabil secara mental.	Seseorang tidak stabil secara mental.			
23	{0}: _jatuh ke tanah/kehilangan kesadaran/sekarat.	Seseorang tidak berdaya.			
24	Ditinggalkan	Ditinggalkan			
25	{0}: meninggal.	Seseorang meninggal.			
26	{0}: malas dalam bekerja.	Seseorang malas dalam pekerjaannya.			
27	{0}: berhenti bermalas-malasan.	Seseorang berhenti bermalas-malasan dalam pekerjaannya.			
28	{0} membutuhkan senjata untuk berburu.	Seseorang membutuhkan senjata untuk berburu.			
