ID	Name	Desc	sParam1	sParam2

1	Clear	Ini adalah hari yang sangat cerah dan cerah, tetapi Anda tidak tahu berapa lama hari itu akan berlangsung.		
2	Cloudy	Ini adalah hari yang sangat suram dan berawan, namun Anda tidak tahu berapa lama hari itu akan berlangsung.		
3	Light Rain	Hujan sudah mulai turun dengan ringan.		
4	Heavy Rain	Hujan mulai turun dengan deras.		
5	Thick Fog	Kabut tebal tiba-tiba mulai terbentuk.		
6	Gloomy Mood	Suasana suram yang aneh mulai merasuki sekte tersebut.		
7	Romance	Suasana romantis mulai merasuki sekte tersebut.		
8	Irritation	Orang-orang di seluruh sekte tiba-tiba mulai mudah tersinggung.		
9	Hail	Hujan es sudah mulai turun. (Tidak diterapkan)		
10	Rainy Season	Musim hujan telah dimulai.		
11	Drought	Musim kemarau sudah dimulai.		
12	Rainstorm	Hujan badai lebat telah dimulai, dan Elemen Air di seluruh langit dan bumi sangat aktif.		
13	Foehn Wind	Angin foehn yang kering dan hangat telah mulai, dan Elemen Api di seluruh langit dan bumi sangat aktif.		
14	Dust Storm	Badai debu menyapu seluruh daratan, dan Elemen Tanah di seluruh langit dan bumi sangat aktif.		
15	Qi Drought	Untuk alasan yang tidak diketahui, ini adalah musim kekeringan Qi di seluruh dunia.		
16	Heat	Musim panas akan datang, jadi cuaca akan sangat hangat. Pastikan untuk mencegah sengatan panas.		
17	Cold Winter	Musim dingin akan datang, sehingga cuaca akan sangat dingin. Pastikan untuk tetap hangat.		
18	Polar Night	Awan aneh menutupi matahari. Butuh beberapa waktu hingga Anda dapat melihat sinar matahari lagi.		
19	Miasma	Udara berbahaya meningkat di seluruh area, dan Elemen Kayu di seluruh langit dan bumi sangat aktif.		
20	Thunderstorm	Badai petir akan datang, dan Elemen Logam di seluruh langit dan bumi sangat aktif.		
21	Beast	A Fei telah muncul di dekat daerah tersebut, dan hujan terus menerus turun serta penyakit.		
22	Beast	Lushu telah muncul di dekat area tersebut, dan membawa cuaca cerah serta suasana yang menguntungkan.		
23	Strange Little Elf	Sekelompok binatang kecil dari Dunia Lain berkeliaran dengan harta karun ketika mereka melewati sekte Anda. Binatang buas ini sangat pemalu, tetapi kedua alam memiliki aturan yang berbeda, sehingga metode umum yang digunakan oleh para pembudidaya tidak dapat mempengaruhi mereka, dan makhluk kecil ini sering membuat kerusuhan di seluruh dunia. Untuk mendapatkan harta karun dari mereka, Anda perlu memikirkan hal lain.		
24	Beast	Binatang buas telah muncul di dekat area tersebut.		
25	Treasure	Seberkas cahaya telah jatuh dari langit. Tampaknya itu adalah sesuatu yang berharga.		
26	Treasure	Pertarungan magis yang sengit terjadi di langit tidak jauh dari sini. Sesuatu yang berharga telah jatuh di dekat area tersebut.		
27	Treasure	Seberkas cahaya tiba-tiba melonjak ke langit. Tampaknya ada harta karun yang menghiasi area ini.		
28	Passer-by Refugee	Seorang pengungsi yang melarikan diri dari perang sedang lewat, dan[IT]ingin bergabung denganmu.		
29	Secret			
30	Secret			
31	Secret			
32	Secret			
33	Secret			
34	Attack	Sekelompok pria buas dari Hutan Selatan telah menyerang Anda.		
35	Attack	Sekelompok bandit yang mencari nafkah dengan merampok orang di seluruh kota telah menyerang Anda.		
36	Attack	Sekelompok pembudidaya nakal dari Laut Timur telah menyerang Anda demi uang dan sumber daya Anda.		
37	Assault	Anda sedang diserang oleh sekelompok penggarap jahat dari barat.		
38	Assault	Sekte Anda sedang diserang oleh sekelompok murid nakal dari sekte jahat.		
39	Assault	Sekte Anda sedang diserang oleh sekelompok pembudidaya yang kuat.		
40	Assault	Sekte Anda sedang diserang oleh sekelompok pembudidaya jahat yang terkenal.		
41	A Different Time	Gempa bumi terjadi di Wild South baru-baru ini, dan sejumlah besar orang biadab dan bandit dari selatan melarikan diri ke sini.		
42	Immortal Visitor	Seorang teman abadi Anda sedang mengunjungi sekte Anda, dan dia mungkin ingin tinggal selama beberapa hari.	Immortal Visitor	
43	Confused Stranger	Ada orang asing yang tersesat di sekitar sini, dan berharap kami dapat membantu mereka.	Confused Stranger	
44	Curious Stranger	Orang asing yang penasaran menemukan tempat ini secara tidak sengaja, dan[IT]ingin tahu apa sebenarnya yang sedang kami lakukan.	Curious Stranger	
45	Injured Stranger	Orang asing terluka, dan[IT]ingin tinggal di sini sebentar dan meminta bantuan kami.	Injured Stranger	
46	Light Snow	Salju sudah mulai turun.		
47	Heavy Snow	Salju sudah mulai turun dengan lebat.		
48	Observer	Seorang kultivator sedang mengamati Anda, tetapi sepertinya mereka tidak bermaksud jahat.	Observer	
49	Beast Attack	Sekelompok serigala lapar muncul di dekat sini, dan mereka sangat bermusuhan.		
50	Beast Attack	Sekelompok kelinci gila muncul di dekat sini, dan mereka sangat bermusuhan.		
51	Beast Attack	Sekelompok ular agresif muncul di dekat sini, dan mereka sangat bermusuhan.		
52	Beast Attack	Sekelompok babi hutan yang panik muncul di dekat sini, dan mereka sangat bermusuhan.		
53	Secret			
54	Secret			
55	Secret			
56	Secret			
57	Secret			
58	Secret			
59	Secret			
61	Secret			
62	Secret			
63	Secret			
64	Secret			
65	Secret			
66	Secret			
67	Secret			
68	Secret			
69	Secret			
70	Secret			
71	Secret			
72	Secret			
73	Secret			
74	Secret			
75	Secret			
80	Warm Wind	Hembusan angin hangat melewati area ini pada hari-hari terdingin, dan musim dingin kali ini akan jauh lebih hangat.		
81	Chilly Wind	Hembusan angin dingin melewati area ini selama hari-hari terpanas, dan musim panas ini akan jauh lebih dingin.		
82	Spirit of Harvest	Semangat panen yang baik mulai merasuki daerah tersebut.		
83	Burst of Qi	Untuk alasan yang tidak diketahui, Qi di langit dan bumi tiba-tiba mulai meledak. Beberapa tanaman terpengaruh dan menjadi Spiritwood.		
84	Secret			
85	Spring's Coming	Kehangatan musim semi meresap ke udara.		
86	Invasion of Beasts	Beberapa monster kelinci muncul di dekat sini, dan mereka sangat bermusuhan.		
87	Invasion of Beasts	Beberapa monster serigala muncul di dekat sini, dan mereka sangat bermusuhan.		
88	Invasion of Beasts	Beberapa monster ular muncul di dekat sini, dan mereka sangat bermusuhan.		
89	Invasion of Beasts	Beberapa monster babi hutan telah muncul di dekat sini, dan mereka sangat bermusuhan.		
90	Invasion of Beasts	Beberapa monster beruang telah muncul di dekat sini, dan mereka sangat bermusuhan.		
91	Invasion of Beasts	Beberapa katak raksasa muncul di dekat sini, dan mereka sangat bermusuhan.		
92	Invasion of Beasts	Beberapa kura-kura raksasa muncul di dekat sini, dan mereka sangat bermusuhan.		
