ID	Desc

1	Penghuni ruangan semuanya haruslah Rakyat jelata.
2	Penghuni ruangan semuanya harus menjadi Pembentuk.
3	Penghuni ruangan semuanya harus menjadi Pembentuk Inti.
4	Penghuni ruangan semuanya harus merupakan Golden Core.
5	Penghuni ruangan semuanya harus berjiwa Primordial.
6	Penghuni ruangan semuanya haruslah Demi-Dewa.
7	Penghuni ruangan semuanya harus menjadi Murid Batin.
8	Penghuni ruangan semuanya harus menjadi Murid Luar.
9	Penghuni ruangan semuanya harus menjadi Pengunjung.
10	Penghuni kamar semuanya harus berusia lebih dari 30 tahun.
11	Penghuni kamar semuanya harus berusia lebih dari 90 tahun.
12	Penghuni kamar semuanya harus berusia lebih dari 270 tahun.
13	Penghuni kamar semuanya harus berusia lebih dari 810 tahun.
14	Penghuni kamar semuanya harus berusia lebih dari 2.430 tahun.
15	Penghuni kamar semuanya harus berusia di bawah 30 tahun.
16	Penghuni kamar semuanya harus berusia kurang dari 90 tahun.
17	Penghuni kamar semuanya harus berusia kurang dari 270 tahun.
18	Penghuni kamar semuanya harus berusia kurang dari 810 tahun.
19	Penghuni kamar semuanya harus berusia kurang dari 2.430 tahun.
20	Penghuni kamar harus memiliki usia gabungan tidak lebih dari 100 tahun.
21	Penghuni kamar harus memiliki usia gabungan tidak lebih dari 200 tahun.
22	Penghuni kamar harus memiliki usia gabungan tidak lebih dari 500 tahun.
23	Penghuni kamar harus memiliki usia gabungan tidak lebih dari 1.000 tahun.
24	Penghuni kamar harus memiliki usia gabungan tidak kurang dari 500 tahun.
25	Penghuni kamar harus memiliki usia gabungan tidak kurang dari 1.000 tahun.
26	Penghuni kamar harus memiliki usia gabungan tidak kurang dari 2.000 tahun.
27	Penghuni kamar harus memiliki usia gabungan tidak kurang dari 4.000 tahun.
28	Penghuni kamar semuanya harus berjenis kelamin laki-laki.
29	Penghuni kamar semuanya harus perempuan.
30	Penghuni kamar harus mencakup laki-laki dan perempuan.
31	Kamar harus memiliki 1 penghuni.
32	Kamar harus memiliki 2 penghuni.
33	Kamar harus memiliki 3 penghuni.
34	Ruangan harus memiliki 3 penghuni atau lebih.
35	Ruangan harus memiliki 5 penghuni atau lebih.
36	Ruangan tidak boleh dihuni lebih dari 3 penghuni.
37	Ruangan tidak boleh dihuni lebih dari 5 orang.
38	Kamar harus memiliki minimal 1 tempat tidur.
39	Kamar harus memiliki minimal 2 tempat tidur.
40	Kamar harus memiliki minimal 3 tempat tidur.
41	Kamar tidak boleh memiliki lebih dari 1 tempat tidur.
42	Kamar tidak boleh memiliki lebih dari 2 tempat tidur.
43	Kamar tidak boleh memiliki lebih dari 3 tempat tidur.
44	Kamar harus memiliki minimal 1 tempat tidur ganda.
45	Ruangan harus memiliki minimal 1 sumber cahaya.
46	Ruangan harus memiliki minimal 2 sumber cahaya.
47	Ruangan harus memiliki minimal 3 sumber cahaya.
48	Ruangan tidak boleh memiliki lebih dari 1 sumber cahaya.
49	Ruangan tidak boleh memiliki lebih dari 2 sumber cahaya.
50	Ruangan tidak boleh memiliki lebih dari 3 sumber cahaya.
51	Ruangan harus memiliki minimal 1 tong air.
52	Ruangan harus memiliki minimal 1 layar lipat.
53	Ruangan tersebut harus memiliki minimal 1 patung.
54	Ruangan harus memiliki minimal 1 kuali.
55	Ruangan harus memiliki minimal 1 pedupaan.
56	Ruangan harus memiliki minimal 1 tanaman.
57	Ruangan tersebut harus memiliki minimal 1 spanduk.
58	Ruangan harus memiliki minimal 1 rak.
59	Ruangan tersebut harus memiliki minimal 1 kuburan.
60	Ruangan harus memiliki minimal 2 tong air.
61	Ruangan harus memiliki minimal 2 layar lipat.
62	Ruangan tersebut harus memiliki minimal 2 patung.
63	Ruangan harus memiliki minimal 2 kuali.
64	Ruangan harus memiliki minimal 2 sensor.
65	Ruangan harus memiliki minimal 2 tanaman.
