Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
EatShit											Saya tidak akan pernah makan apa pun，Kecuali kamu memberiku makan	Saya jarang makan kotoran	Saya makan kotoran sesekali	Kadang-kadang aku makan kotoran	Saya sering makan kotoran
EatEssence											Saya tidak akan pernah memakan akar spiritual langit dan bumi，Kecuali kamu memberiku makan	Saya jarang memakan akar roh surga dan bumi	Saya sesekali makan Tiandi Linggen	Kadang saya makan Tiandi Linggen	Saya sering makan Tiandi Linggen
EatDrug											Saya tidak akan pernah makan ramuan sebagai camilan，Kecuali kamu memberiku makan	Saya jarang mengonsumsi ramuan sebagai camilan	Saya kadang-kadang makan ramuan sebagai camilan	Saya terkadang mengonsumsi ramuan sebagai camilan	Saya sering mengonsumsi ramuan sebagai camilan
EatWheat											Saya tidak akan pernah makan gandum kecuali benar-benar diperlukan	Saya jarang makan gandum	Saya sesekali makan gandum	Saya terkadang makan gandum	Saya sering makan gandum
EatDryMeat											Saya tidak akan pernah makan dendeng kecuali benar-benar diperlukan	Saya jarang makan dendeng	Saya sesekali makan dendeng	Saya terkadang makan dendeng	Saya sering makan dendeng
EatPear											Saya tidak akan pernah makan buah pir kecuali benar-benar diperlukan	Saya jarang makan buah pir	Saya sesekali makan buah pir	Saya terkadang makan buah pir	Saya sering makan buah pir
EatMeat											Saya tidak akan pernah makan daging mentah kecuali benar-benar diperlukan	Saya jarang makan daging mentah	Saya kadang-kadang makan daging mentah	Saya terkadang makan daging mentah	Saya sering makan daging mentah
EatCook											Saya tidak makan makanan yang dimasak kecuali saya harus melakukannya	Saya jarang makan makanan yang dimasak	Saya sesekali makan makanan yang dimasak	Saya terkadang makan makanan yang dimasak	Saya sering makan makanan yang dimasak
EatWeight	-1	-1	0	1	1						Saya makan ketika saya sangat lapar	Saya pergi makan karena saya sangat lapar	Saya akan makan ketika saya lapar	Saya akan makan ketika saya lapar	Saya makan ketika saya sedikit lapar
BiteBuilding											Saya tidak akan pernah menyerang gedung	Saya jarang menyerang bangunan	Saya kadang-kadang menyerang bangunan	Saya terkadang menyerang bangunan	Saya sering menyerang bangunan dengan keras
BiteClothes											Saya tidak akan pernah menyerang pakaian	Saya jarang menyerang pakaian	Saya kadang-kadang menyerang pakaian	Saya terkadang menyerang pakaian	Saya sering menyerang pakaian dengan parah
BiteOuter											Saya tidak akan pernah menyerang murid luar	Saya jarang menyerang murid luar	Saya kadang-kadang menyerang murid luar	Saya terkadang menyerang murid luar	Saya sering menyerang murid luar dengan kejam
BiteInner											Saya tidak akan pernah menyerang murid batiniah	Saya jarang menyerang murid batiniah	Saya kadang-kadang menyerang murid batiniah	Saya terkadang menyerang murid batiniah	Saya sering membanting pintu bagian dalam dengan keras
BiteVisitor											Saya tidak akan pernah menyerang pengunjung	Saya jarang menyerang pengunjung	Saya kadang-kadang menyerang pengunjung	Saya terkadang menyerang pengunjung	Saya sering menyerang pengunjung dengan kejam
BiteIncoming											Saya tidak akan pernah menyerang pengunjung	Saya jarang menyerang pengunjung	Saya kadang-kadang menyerang pengunjung	Saya terkadang menyerang pengunjung	Saya sering menyerang pengunjung dengan kasar
AtkEnemy											Saya tidak akan pernah menyerang musuh，kecuali diserang	Saya jarang menyerang musuh	Saya sesekali menyerang musuh	Saya terkadang menyerang musuh	Selama ada serangan musuh，Saya akan segera menyerang
AtkDizzyOuter											Saya tidak akan pernah menyerang pintu luar yang tidak disadari	Saya jarang menyerang pintu luar yang tidak disadari	Saya sesekali akan menyerang pintu luar yang tidak disadari	Saya terkadang menyerang pintu luar yang tidak disadari	Saya sering menyerang pintu luar bawah sadar
AtkDizzyInner											Saya tidak akan pernah menyerang pintu dalam bawah sadar	Saya jarang menyerang pintu bawah sadar	Saya kadang-kadang akan menyerang pintu bagian dalam bawah sadar	Saya terkadang menyerang pintu bagian dalam bawah sadar	Saya sering menyerang pintu luar bawah sadar
AtkDizzyComing											Saya tidak akan pernah menyerang pengunjung yang tidak sadarkan diri	Saya jarang menyerang pengunjung yang tidak sadarkan diri	Saya kadang-kadang menyerang pengunjung yang tidak sadarkan diri	Saya terkadang menyerang pengunjung yang tidak sadarkan diri	Saya sering menyerang pengunjung yang tidak sadarkan diri
AtkDizzyVisitor											Saya tidak akan pernah menyerang pengunjung yang tidak sadarkan diri	Saya jarang menyerang pengunjung yang tidak sadarkan diri	Saya kadang-kadang menyerang pengunjung yang tidak sadarkan diri	Saya terkadang menyerang pengunjung yang tidak sadarkan diri	Saya sering menyerang pengunjung yang tidak sadarkan diri
ShitAtShitPlace											Saya tidak akan pernah pergi ke tempat ekskresi untuk buang air kecil.	Saya jarang pergi ke tempat ekskresi untuk buang air.	Sesekali saya pergi ke tempat ekskresi untuk buang air kecil	Terkadang saya pergi ke tempat ekskresi untuk buang air.	Saya sering mencari titik ekskresi untuk buang air kecil
ShitAtPlants											Saya tidak akan pernah buang air besar di tanaman	Saya jarang buang air besar di tanaman	Saya sesekali buang air besar di tanaman	Saya terkadang buang air besar di tanaman	Saya sering mencari tanaman untuk dikeluarkan
ShitAtDogHouse											Saya tidak akan pernah buang air besar di sarangnya	Saya jarang ke sarang untuk buang air besar	Saya sesekali pergi ke sarang untuk buang air besar	Kadang-kadang saya pergi ke sarang untuk buang air besar	Saya sering pergi ke sarang untuk buang air
ShitAtStorage											Saya tidak akan pernah pergi ke gudang untuk buang air kecil	Saya jarang pergi ke gudang untuk buang air	Saya sesekali pergi ke gudang untuk buang air	Saya terkadang pergi ke gudang untuk buang air	Saya sering pergi ke gudang untuk buang air
ShitOnBed											Saya tidak akan pernah pergi tidur untuk buang air.	Saya jarang pergi tidur untuk buang air	Saya sesekali pergi tidur untuk buang air	Kadang-kadang saya pergi tidur untuk buang air	Saya sering mencari tempat tidur untuk buang air kecil
ShitInFarm											Saya tidak akan pernah pergi ke lahan pertanian untuk buang air kecil.	Saya jarang pergi ke lahan pertanian untuk buang air kecil	Saya kadang-kadang pergi ke lahan pertanian untuk buang air kecil	Kadang-kadang saya pergi ke lahan pertanian untuk buang air besar	Saya sering pergi ke lahan pertanian untuk buang air kecil
CarryOuterToBed											Saya tidak akan pernah memindahkan murid luar yang tidak sadarkan diri ke tempat tidur	Saya jarang memindahkan murid luar yang tidak sadarkan diri ke tempat tidur	Saya kadang-kadang memindahkan murid luar yang tidak sadarkan diri ke tempat tidur	Saya terkadang memindahkan murid luar yang tidak sadarkan diri ke tempat tidur	Saya sering memindahkan murid luar yang tidak sadarkan diri ke tempat tidur
CarryVisitorToDest											Saya tidak akan pernah memindahkan pengunjung yang tidak sadarkan diri ke titik bergerak	Saya jarang memindahkan pengunjung yang tidak sadarkan diri ke titik bergerak	Saya sesekali memindahkan pengunjung yang tidak sadarkan diri ke titik perpindahan	Saya terkadang memindahkan pengunjung yang tidak sadarkan diri ke titik transfer	Saya sering memindahkan pengunjung yang tidak sadarkan diri ke titik transfer
CarryEnemyToDest											Saya tidak akan pernah memindahkan musuh yang tidak sadarkan diri ke titik transfer	Saya jarang memindahkan musuh yang tidak sadarkan diri ke titik transfer	Saya sesekali memindahkan musuh yang tidak sadarkan diri ke titik transfer	Saya terkadang memindahkan musuh yang tidak sadarkan diri ke titik transfer	Saya sering memindahkan musuh yang tidak sadarkan diri ke titik transfer
CarryIncomingToDest											Saya tidak akan pernah memindahkan manusia yang tidak sadarkan diri ke titik yang mengharukan.	Saya jarang memindahkan manusia yang tidak sadarkan diri ke titik yang bergerak	Saya kadang-kadang memindahkan manusia yang tidak sadarkan diri ke titik bergerak	Saya terkadang memindahkan manusia yang tidak sadarkan diri ke titik transfer	Saya sering memindahkan manusia yang tidak sadarkan diri ke titik transfer
CarryEnemyBodyToDest											Saya tidak akan pernah memindahkan mayat musuh ke titik transportasi	Saya jarang memindahkan mayat musuh ke titik transfer	Saya sesekali memindahkan mayat musuh ke titik transportasi	Saya terkadang memindahkan mayat musuh ke titik transportasi	Saya sering memindahkan mayat musuh ke titik transportasi
CarryVisitorBodyToDest											Saya tidak akan pernah memindahkan tubuh pengunjung ke tempat pemindahan	Saya jarang memindahkan jenazah pengunjung ke titik pemindahan	Saya sesekali memindahkan jenazah pengunjung ke titik pemindahan	Saya terkadang membawa jenazah pengunjung ke tempat pemindahan	Saya sering memindahkan jenazah pengunjung ke titik pemindahan
CarryIncomingBodyToDest											Saya tidak akan pernah memindahkan tubuh fana ke titik bergerak	Saya jarang membawa mayat ke tempat pembuangan	Saya kadang-kadang memindahkan mayat ke titik pemindahan	Saya terkadang memindahkan mayat fana ke titik pemindahan	Saya sering memindahkan mayat fana ke titik perpindahan
HelpCarry	0	-1	-1	-1	-1						Saya tidak akan pernah membantu memindahkan barang	Saya jarang membantu memindahkan barang	Saya sesekali membantu membawa barang	Saya terkadang membantu memindahkan barang	Saya sering membantu memindahkan barang
HelpTimber											Saya tidak akan pernah membantu menebang pohon	Saya jarang membantu menebang pohon	Saya sesekali membantu menebang pohon	Saya terkadang membantu menebang pohon	Saya sering membantu menebang pohon
HelpMine											Saya tidak akan pernah membantu penambangan	Saya jarang membantu penambangan	Saya sesekali membantu penambangan	Saya terkadang membantu penambangan	Saya sering membantu penambangan
HelpFind											Saya tidak akan pernah mencari item pada musuh	Saya jarang mencari item pada musuh	Saya sesekali mencari item pada musuh	Saya terkadang mencari item pada musuh	Saya sering mencari item pada musuh
HelpKill											Saya tidak akan pernah menyembelih hewan	Saya jarang menyembelih hewan	Saya kadang-kadang menyembelih hewan	Saya terkadang menyembelih hewan	Saya sering menyembelih hewan
HelpPlant											Saya tidak akan pernah kencing di tanaman	Saya jarang kencing di tanaman	Saya sesekali kencing di tanaman	Saya terkadang kencing di tanaman	Saya sering kencing di tanaman
Pee											Saya tidak akan pernah kencing di tanaman	Saya jarang kencing di tanaman	Saya sesekali kencing di tanaman	Saya terkadang kencing di tanaman	Saya sering kencing di tanaman
CureFreeze											Saya tidak akan pernah mengobati radang dingin	Saya jarang mengobati radang dingin	Saya kadang-kadang mengobati radang dingin	Saya terkadang mengobati radang dingin	Saya sering mengobati radang dingin
CureHot											Saya tidak akan pernah mengobati sengatan panas	Saya jarang mengobati serangan panas	Saya kadang-kadang mengobati sengatan panas	Saya terkadang mengobati sengatan panas	Saya sering mengobati sengatan panas
HelpCook											Saya tidak akan pernah membantu memasak	Saya jarang membantu memasak	Saya sesekali membantu memasak	Saya terkadang membantu memasak	Saya sering membantu memasak
HeatEndure											Saya tidak akan pernah memberikan mantra pendingin pada murid-murid saya	Saya jarang memberikan mantra pendingin pada murid-murid saya	Saya sesekali memberikan mantra pendinginan pada murid-murid saya	Kadang-kadang aku memberikan mantra pendinginan pada murid-muridku	Saya sering memberikan mantra pendingin pada murid-murid saya
ColdEndure											Saya tidak akan pernah melemparkan Kutukan Pemanasan Tungku pada murid-murid saya	Saya jarang melemparkan Kutukan Pemanasan Tungku pada murid-murid saya	Saya sesekali melemparkan Kutukan Pemanasan Tungku pada murid-murid saya	Saya terkadang melemparkan Kutukan Pemanasan Tungku pada murid-murid saya	Saya sering merapal mantra suhu tungku pada murid-murid saya
HelpPlay											Saya tidak akan pernah mencoba membuat murid-murid saya bahagia	Saya jarang keluar untuk membuat murid-murid saya bahagia	Saya kadang-kadang pergi untuk membuat murid-murid saya bahagia	Saya terkadang membuat murid-murid saya bahagia	Saya sering pergi untuk membuat murid-murid saya bahagia
FeedTongXie											Saya tidak akan pernah memberi makan murid-murid saya Tongcai San	Saya jarang memberi makan murid-murid saya Tongcha San	Kadang-kadang saya memberi makan murid-murid saya Tongcai San	Terkadang saya pergi memberi makan murid-murid saya Tongcai San	Saya sering pergi memberi makan murid-murid saya Tongcaisan
CureInner											Saya tidak akan pernah menggunakan disinjury untuk mengobati cedera.	Saya jarang menggunakan debridement untuk mengobati cedera	Saya kadang-kadang menggunakan debridemen untuk mengobati cedera	Saya terkadang menggunakan debridement untuk mengobati cedera	Saya sering menggunakan debridement untuk mengobati cedera
HealInner											Saya tidak akan pernah menggunakan disinjury untuk mengobati cedera.	Saya jarang menggunakan debridement untuk mengobati cedera	Saya kadang-kadang menggunakan debridemen untuk mengobati cedera	Saya terkadang menggunakan debridement untuk mengobati cedera	Saya sering menggunakan debridement untuk mengobati cedera
PlayToy											Saya tidak akan pernah bermain dengan mainan	Saya jarang bermain dengan mainan	Saya sesekali bermain dengan mainan	Saya terkadang bermain dengan mainan	Saya sering bermain dengan mainan
TrainQiGan											Saya jelas tidak berlatih Reiki.	Saya jarang berlatih Reiki	Saya kadang-kadang berlatih Reiki	Saya terkadang berlatih Reiki	Saya sering berlatih Reiki
TrainNeiDan						0	1	1	1	1	Saya tidak akan pernah berlatih Yudan	Saya jarang mempraktikkan ramuan kekaisaran	Saya sesekali berlatih Yudan	Saya terkadang berlatih ramuan	Saya sering berlatih Yudan
TrainHuTi											Saya tidak akan pernah berlatih perlindungan tubuh	Saya jarang melakukan perawatan tubuh	Saya kadang-kadang berlatih perawatan tubuh	Saya terkadang berlatih perawatan tubuh	Saya sering berlatih perawatan tubuh
TrainLingZhi											Saya tidak akan pernah mempraktikkan kebijaksanaan spiritual	Saya jarang mempraktikkan kebijaksanaan spiritual	Saya kadang-kadang mempraktikkan kebijaksanaan spiritual	Saya terkadang mempraktikkan kebijaksanaan spiritual	Saya sering mempraktikkan kebijaksanaan spiritual
TrainShuFa						0	1	1	1	1	Saya tidak akan pernah berlatih sihir	Saya jarang berlatih sihir	Saya kadang-kadang berlatih sihir	Saya terkadang berlatih sihir	Saya sering berlatih sihir
HelpPlantD											Saya tidak akan pernah buang air kecil di bidang kedokteran	Saya jarang pergi ke bidang pengobatan untuk buang air kecil	Saya kadang-kadang pergi ke bidang pengobatan untuk buang air kecil	Saya kadang-kadang pergi ke bidang pengobatan untuk buang air kecil	Saya sering pergi ke bidang pengobatan untuk buang air kecil
CarryOuterBodyToDest											Saya tidak akan pernah memindahkan tubuh ke luar pintu ke titik bergerak	Saya jarang memindahkan badan ke luar pintu ke titik bergerak	Saya sesekali memindahkan tubuh bagian luar ke titik pelepasan	Saya terkadang memindahkan tubuh ke luar pintu ke titik bergerak	Saya sering memindahkan mayat ke luar pintu ke titik pindahan
CarryInnerBodyToDest											Saya tidak akan pernah memindahkan tubuh dari pintu dalam ke titik bergerak.	Saya jarang memindahkan badan dari pintu dalam ke titik bergerak	Saya sesekali memindahkan tubuh bagian dalam ke titik pelepasan	Saya terkadang menggerakkan tubuh bagian dalam ke titik bergerak	Saya sering memindahkan jenazah dari pintu bagian dalam ke titik pindahan
Feed_Item_Dan_Happiness											Saya tidak akan pernah memberi makan pil surga kepada murid batiniah	Saya jarang memberi murid batin Paradise Pills	Kadang-kadang saya memberi murid batin Pil Surga	Saya kadang-kadang memberi makan pil surga kepada murid-murid batin	Saya sering memberi murid batin saya Pil Surga
Feed_Item_Dan_PracticeSpeed											Saya tidak akan pernah memberi makan murid batin Huang Yadan	Saya jarang memberi makan murid batin Huang Yadan	Kadang-kadang saya memberi makan murid batin saya, Huang Ya Dan	Terkadang saya memberi makan murid batin Huang Yadan	Saya sering memberi makan murid batin saya, Huang Ya Dan
Feed_Item_Dan_CalmDown											Saya tidak akan pernah memberi murid batin pil Qingxin	Saya jarang memberi pil Qingxin kepada murid batin saya	Saya kadang-kadang memberi makan pil Qingxin kepada murid dalam	Saya terkadang memberi makan pil Qingxin kepada murid dalam	Saya sering memberi makan pil Qingxin kepada murid dalam
Feed_Item_LingStone											Saya tidak akan pernah memberi makan batu spiritual murid batin.	Saya jarang memberi makan batu spiritual murid batin	Saya kadang-kadang memberi makan batu spiritual murid batin	Saya terkadang memberi batu spiritual pada murid batin	Saya sering memberi makan batu spiritual murid batin
Feed_Item_LingCrystal											Saya tidak akan pernah memberi makan kristal spiritual murid batin	Saya jarang memberi makan kristal spiritual kepada murid-murid batin	Saya kadang-kadang memberi makan kristal spiritual kepada murid-murid batin	Saya kadang-kadang memberi makan kristal spiritual kepada murid-murid batin	Saya sering memberi makan kristal spiritual murid batin
BiteExpel											Saya tidak akan pernah menyerang manusia	Saya jarang menyerang manusia	Saya kadang-kadang menyerang manusia	Saya terkadang menyerang manusia	Saya sering menyerang manusia，dan akan membunuhnya
AtkDizzyExpel											Saya tidak akan pernah menyerang manusia yang tidak sadarkan diri	Saya jarang menyerang manusia yang tidak sadarkan diri	Saya kadang-kadang menyerang manusia yang tidak sadarkan diri	Saya terkadang menyerang manusia yang tidak sadarkan diri	Saya sering menyerang manusia yang tidak sadarkan diri
CarryMortalToDest											Saya tidak akan pernah memindahkan manusia yang koma ke titik yang bergerak.	Saya jarang memindahkan manusia yang tidak sadarkan diri ke titik transfer.	Saya kadang-kadang memindahkan manusia yang tidak sadarkan diri ke titik transfer	Saya terkadang memindahkan manusia yang tidak sadarkan diri ke titik transfer	Saya sering memindahkan manusia yang tidak sadarkan diri ke titik transfer
CarryMortalBodyToDest											Saya tidak akan pernah memindahkan mayat fana ke titik bergerak	Saya jarang memindahkan mayat ke tempat pembuangan	Saya kadang-kadang memindahkan mayat ke titik pemindahan	Saya terkadang memindahkan mayat fana ke titik pemindahan	Saya sering memindahkan mayat fana ke titik perpindahan
Eat_Item_SnakeGallbladder											Saya tidak akan pernah makan empedu ular，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan empedu ular	Kapan saya bisa menyerap obatnya，Mungkin memakan empedu ular	Kapan saya bisa menyerap obatnya，Terkadang saya makan empedu ular	Kapan saya bisa menyerap obatnya，Sering makan empedu ular
Eat_Item_BearGallbladder											Saya tidak akan pernah makan empedu beruang，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan empedu beruang	Kapan saya bisa menyerap obatnya，Mungkin memakan empedu beruang	Kapan saya bisa menyerap obatnya，Terkadang saya makan empedu beruang	Kapan saya bisa menyerap obatnya，Sering makan empedu beruang
Eat_Item_RedGinseng											Saya tidak akan pernah makan ginseng merah，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan ginseng merah	Kapan saya bisa menyerap obatnya，Mungkin makan ginseng merah	Kapan saya bisa menyerap obatnya，Terkadang saya makan ginseng merah	Kapan saya bisa menyerap obatnya，Saya sering makan ginseng merah
Eat_Item_PurpleGanodermaLucidum											Saya tidak akan pernah makan Zizhi，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan Zizhi	Kapan saya bisa menyerap obatnya，Zizhi bisa dimakan	Kapan saya bisa menyerap obatnya，Terkadang saya makan Zizhi	Kapan saya bisa menyerap obatnya，Saya sering makan Zizhi
Eat_Item_TuEssence											Saya tidak akan pernah makan ekstrak oker，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan sari kuning oker	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan esensi kuning oker	Kapan saya bisa menyerap obatnya，Terkadang saya mengambil ekstrak oker	Kapan saya bisa menyerap obatnya，Saya sering makan sari kuning oker
Eat_Item_HuoEssence											Saya tidak akan pernah makan buah merah，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan buah merah	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk makan buah merah	Kapan saya bisa menyerap obatnya，Terkadang saya makan buah merah	Kapan saya bisa menyerap obatnya，Saya sering makan buah merah
Eat_Item_ShuiEssence											Saya tidak akan pernah makan Teratai Emas，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan teratai emas	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan Teratai Emas	Kapan saya bisa menyerap obatnya，Terkadang saya makan Golden Lotus	Kapan saya bisa menyerap obatnya，Saya sering makan Golden Lotus
Eat_Item_JinEssence											Saya tidak akan pernah makan buah Langya，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan buah Langya	Kapan saya bisa menyerap obatnya，Buah langya bisa dimakan	Kapan saya bisa menyerap obatnya，Terkadang saya makan buah Langya	Kapan saya bisa menyerap obatnya，Saya sering makan buah Langya
Eat_Item_MuEssence											Saya tidak akan pernah memakan kayu mati atau tanaman anggur，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali memakan kayu mati dan tanaman merambat	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan kayu mati dan tanaman merambat	Kapan saya bisa menyerap obatnya，Terkadang mereka memakan kayu mati dan tanaman merambat	Kapan saya bisa menyerap obatnya，Sering memakan kayu mati dan tanaman merambat
Eat_Item_LifeStream											Saya tidak akan pernah memakan sumber umur panjang，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan musim semi umur panjang	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan sumber umur panjang	Kapan saya bisa menyerap obatnya，Terkadang saya memakan sumber umur panjang	Kapan saya bisa menyerap obatnya，Saya sering makan musim semi umur panjang
Eat_Item_LongEgg											Saya tidak akan pernah makan telur naga，Kecuali kamu memberiku makan	Saya sesekali makan telur naga	Saya mungkin makan telur naga	Saya terkadang makan telur naga	Saya sering makan telur naga
Eat_Item_FengEgg											Saya tidak akan pernah makan telur phoenix，Kecuali kamu memberiku makan	Saya sesekali makan telur phoenix	Saya mungkin makan telur phoenix	Saya terkadang makan telur phoenix	Saya sering makan telur phoenix
Eat_Item_DragonShit											Saya tidak akan pernah makan Tianlong Sha，Kecuali kamu memberiku makan	Saya sesekali makan Tianlongsha	Saya mungkin makan Tianlongsha	Saya terkadang makan Tianlongsha	Saya sering makan Tianlongsha
Eat_Item_Jiaozi											Saya tidak akan pernah makan pangsit，Kecuali kamu memberiku makan	Saya sesekali makan pangsit	Saya mungkin makan pangsit	Saya terkadang makan pangsit	Saya sering makan pangsit
Eat_Item_BossFeng_Meat											Saya tidak akan pernah memakan daging dan darah burung phoenix yang ganas，Kecuali kamu memberiku makan	Saya sesekali memakan daging dan darah burung phoenix yang ganas	Saya mungkin memakan daging dan darah burung phoenix yang ganas	Saya terkadang memakan daging dan darah burung phoenix yang ganas	Saya sering memakan daging dan darah burung phoenix yang ganas
Eat_Item_BossLong_Meat											Saya tidak akan pernah makan daging dan darah naga，Kecuali kamu memberiku makan	Saya kadang-kadang makan daging dan darah naga	Saya mungkin makan daging dan darah naga	Terkadang saya memakan daging dan darah naga	Saya sering memakan daging dan darah naga
Eat_Item_BossZhuLong_Meat											Saya tidak akan pernah makan daging dan darah asli，Kecuali kamu memberiku makan	Saya kadang-kadang makan daging dan darah mentah	Saya mungkin makan daging dan darah asli	Terkadang saya makan daging dan darah asli	Saya sering makan daging dan darah asli
Eat_Item_Cake											Saya tidak akan pernah makan pancake，Kecuali kamu memberiku makan	Saya sesekali makan pancake	Saya mungkin makan pancake	Saya terkadang makan pancake	Saya sering makan pancake
Eat_Item_MonsterBlood											Saya tidak akan pernah makan darah iblis，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan darah iblis	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan darah roh iblis	Kapan saya bisa menyerap obatnya，Terkadang mereka memakan darah roh iblis	Kapan saya bisa menyerap obatnya，Sering memakan darah roh iblis
Eat_Item_EarthEssence											Saya tidak akan pernah memakan cairan spiritual ibu bumi，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali saya memakan cairan roh ibu bumi	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan cairan spiritual ibu bumi	Kapan saya bisa menyerap obatnya，Terkadang saya memakan cairan spiritual ibu bumi	Kapan saya bisa menyerap obatnya，Saya sering makan cairan roh ibu bumi
Eat_Item_SilverGrit											Saya tidak akan pernah makan pasir kristal dingin，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan pasir kristal dingin	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan pasir kristal dingin	Kapan saya bisa menyerap obatnya，Terkadang saya makan pasir kristal dingin	Kapan saya bisa menyerap obatnya，Saya sering makan pasir kristal dingin
Eat_Item_CopperGrit											Saya tidak akan pernah makan pasir tembaga api，Kecuali kamu memberiku makan	Kapan saya bisa menyerap obatnya，Sesekali makan pasir tembaga api	Kapan saya bisa menyerap obatnya，Dimungkinkan untuk memakan pasir tembaga api	Kapan saya bisa menyerap obatnya，Terkadang saya memakan pasir tembaga api	Kapan saya bisa menyerap obatnya，Saya sering makan pasir tembaga api
