Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	Laporan	无成功失败/中性回答	Kesuksesan!	Gagal!	数值参数	文本参数
LingHun_AskTNpc	0	Ceritakan semua yang kamu ketahui tentangnya [TSCHOOL]'s [TNAME] !	Saya benar-benar tidak tahu [TIT] .	aku akan bicara...	Tidak ada yang lain. Saya berjanji.		
LingHun_AskTNpcData	0	Ceritakan semua yang Anda ketahui tentang [TXT] terkait dengan [TSCHOOL]'s [TNAME] !	Saya tidak tahu... Saya tidak tahu...	aku akan bicara...	Tidak ada yang lain. Saya berjanji.		
LingHun_AskTNpcSecret	0	Ceritakan tentang semua rahasia [TSCHOOL]'s [TNAME] !	Saya tidak tahu... Saya tidak tahu...	aku akan bicara...	Aku tidak akan memberitahumu bahkan jika aku mati.		
LingHun_Die	0	[HENAME] sedang sekarat.	...				
LingHun_AskNpc	0	Katakan saja padaku apa yang kamu ketahui. Kita hanya punya satu kehidupan, jika kamu memberitahuku dengan jujur, mungkin aku bisa menyelamatkan hidupmu. Jika tidak, hidup Anda pasti akan sia-sia, bukan?	...	Oke... aku akan menceritakan semuanya padamu...	Jadi apa? Lakukan apa pun yang harus kamu lakukan...		
LingHun_DontKnow	0	Ceritakan padaku tentang ini. Apa gunanya jika Anda menolak?	... Aku benar-benar tidak tahu...				
LingHun_Feature	0	Saya tahu Anda diutus oleh [TXT] . Saya punya cara untuk membuat Anda berbicara, jadi lakukan apa yang saya katakan dan itu akan menyelamatkan Anda dari banyak masalah.	...	Oke... Oke... Akan kuberitahu, tolong hentikan...	Jadi apa? Lakukan apa pun yang harus kamu lakukan...		
LingHun_Feature_Open	0	Haha, kudengar kamu adalah a [TXT] orang. Tunjukkan padaku.	... ( [NAME] Jiwanya bergetar hebat, seolah-olah kesakitan yang luar biasa...)				
LingHun_LikeItem	0	kamu suka [TXT] ? Jangan bermain keras. Jika Anda memberi tahu saya apa yang Anda ketahui, Anda dapat memperoleh semuanya [TXT] kamu mau, jadi kenapa repot-repot? (Menghasilkan sejumlah besar [TXT] mengelilingi mereka melalui Ilusi.)	...	Oke... Oke... Jika Anda memberi saya [TXT] , aku akan memberitahumu...	Jadi apa? Lakukan apa pun yang harus kamu lakukan...		
