Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	Laporkan Bug	无成功失败/中性回答	Kesuksesan!	Gagal	数值参数	文本参数
God_Quanhua_LikeItem	0	kamu cinta [TXT] sedemikian rupa sehingga kebahagiaan Anda ada di tangan mereka. Namun apa gunanya hal-hal materialistis ketika Anda menghabiskan hidup Anda untuk berkultivasi?	Maukah kamu diam?	Saya merasakan hal yang sama! Saya sering merasa kosong di dalam ketika saya mendapatkannya [TXT] . Itu memang tidak ada artinya. Saya bersedia mengikuti Anda dan mencari arti sebenarnya dari kultivasi.	Tentu saja ini penting. Anda menyia-nyiakan hidup Anda jika Anda tidak menikmatinya [TXT] selagi kamu masih bisa.		
God_Quanhua_HateItem	0	Kamu benar-benar benci [TXT] . Tapi memang begitu [TXT] benar-benar ada hubungannya denganmu? Namun apa gunanya hal-hal materialistis ketika Anda menghabiskan hidup Anda untuk berkultivasi?	Maukah kamu diam?	Memang benar, aku benci [TXT] . Tapi mereka selalu ada, tidak lebih dan tidak kurang. Apakah aku hanya menyia-nyiakan hidupku? Saya bersedia mengikuti Anda dan mencari arti sebenarnya dari kultivasi.	Tentu saja ini penting. [TXT] adalah hal paling menjijikkan yang pernah ada. Aku akan menghancurkan semuanya [TXT] di dunia, atau aku akan menyesalinya seumur hidup!		
God_Quanhua_Feature	0	kamu adalah [TXT] orang dan itu adalah kelemahan terbesar Anda. Anda menghabiskan seluruh hidup Anda untuk berkultivasi tetapi itu masih di luar kendali Anda. Apakah Anda benar-benar seorang kultivator yang layak?	Maukah kamu diam?	Anda benar... Jika saya bahkan tidak bisa mengendalikan diri, saya akan menjadi kultivator seperti apa? Saya bersedia mengikuti Anda dan mencari arti sebenarnya dari kultivasi.	Apa hubungannya denganmu? Saya [TXT] . Itulah alasan aku hidup. Tidak ada yang salah dengan itu!		
God_Quanhua_Hobby	0	Anda telah diganggu oleh [TXT] seluruh hidupmu. Mengapa Anda membuang begitu banyak energi untuk itu? Semua akan terlupakan di kehidupan selanjutnya. Lagi pula, Anda tidak akan mencapai kenaikan jika Anda menghabiskan hidup Anda untuk hal-hal sepele.	Maukah kamu diam?	Anda benar... Tapi ini [TXT] sudah lama menggangguku. Aku tidak bisa menghindarinya! Saya bersedia mengikuti Anda, berharap dapat melepaskan diri dari masalah ini dan mencari makna sejati dari kultivasi.	Apa hubungannya denganmu? Itu bukan urusanmu!		
God_Quanhua_Esoterica	0	Anda telah terobsesi dengan [TXT] , tapi bisakah itu memberi Anda umur panjang? Ketenaran dan kekayaan apa manfaatnya bagi kultivasi anda? Semua akan terlupakan di kehidupan selanjutnya. Lagi pula, Anda tidak akan mencapai kenaikan jika Anda menghabiskan hidup Anda untuk hal-hal sepele.	Maukah kamu diam?	Anda benar... Diganggu oleh [TXT] , Saya belum mengalami banyak kemajuan dalam kultivasi selama ini. Saya bersedia mengikuti Anda dan mencari arti sebenarnya dari kultivasi.	Tentu saja! Saya tidak akan berdiri di sini jika bukan karena [TXT] . Kata-katamu tidak masuk akal.		
God_Quanhua_Secret	0	Anda telah menyimpannya [TXT] sebuah rahasia, mengira kamu telah menyembunyikannya dengan baik. Namun apakah hal-hal tersebut benar-benar penting? Anda adalah seorang kultivator. Mencapai kenaikan adalah Hukum yang benar bagi Anda!	Maukah kamu diam?	Anda benar... Saya telah membuang banyak tenaga untuk hal ini [TXT] , yang membuat kultivasi saya mandek. Saya bersedia mengikuti Anda dan mencari arti sebenarnya dari kultivasi.	Apa yang kamu bicarakan? Apa gunanya jika saya menghabiskan seluruh hidup saya berlatih hanya untuk mencapai kenaikan? Maka saya lebih baik tidak bergabung dengan Hukum!		
God_Quanhua_Carry	0	Anda melihat [TXT] kamu bawa bersamamu. Di bawah Pengakuan Iman Surga, kita semua tidak berarti seperti mereka. Anda adalah seorang kultivator. Mencapai kenaikan adalah Hukum yang benar bagi Anda!	Maukah kamu diam?	Tentu. Saya tidak ingat kapan saya mulai terobsesi dengan hal-hal materialistis dan lupa berlatih. Saya telah membuang-buang waktu untuk mengejar hal-hal yang dangkal. Saya bersedia mengikuti Anda dan mencari arti sebenarnya dari kultivasi.	Apakah kamu berpikir untuk mengambil milikku [TXT] ? Menjauhlah dariku!		
God_Quanhua_None	0	Ikuti saya, dan kejarlah kehebatan dan bebaslah selamanya dari kekhawatiran!	Maukah kamu diam?	Apakah kamu sudah gila?	Apakah kamu sudah gila? Mengapa saya harus mengikuti Anda?		
God_Quanhua_Track	0	(Info ini tidak dapat digunakan untuk persuasi.)	...	...	...		
